#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WAR_NAME_OTHER_DEJURECLAIM;$ORDER$$FIRST_ADJ$ Ducal War for $CLAIMANT$'s claim on $OTHER_TITLE$;$ORDER$ Guerre ducale de $FIRST$ de $CLAIMANT$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Herzogskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Ducal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$ County War for $CLAIMANT$'s claim on $OTHER_TITLE$;$ORDER$ Guerre comtale de $FIRST$ de $CLAIMANT$ pour revendiquer : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Grafschaftskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Condal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_SUCCESSION;$ORDER$$FIRST_ADJ$ War to install $CLAIMANT$ in $SECOND$;$ORDER$ Guerre de $FIRST$ visant à instaurer $CLAIMANT$ en $SECOND$;$ORDER$$FIRST_ADJ$ Krieg zur Einsetzung von $CLAIMANT$ in $SECOND$;;$ORDER$Guerra $FIRST_ADJ$ para poner a $CLAIMANT$ en el trono de $SECOND$;;;;;;;;;x
WAR_NAME_DEPOSE_LIEGE;$ORDER$$FIRST_ADJ$ War to depose $DEFENDER$;$ORDER$ Guerre de $FIRST$ pour déposer $DEFENDER$.;$ORDER$$FIRST_ADJ$ Krieg, um $DEFENDER$ abzusetzen;;$ORDER$ Guerra $FIRST_ADJ$ para deponer a $DEFENDER$;;;;;;;;;x
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;$ORDER$ Guerre de $FIRST$ contre $SECOND$ pour les côtes de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Krieg um die Küsten- $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ guerra por la costa de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_CLAIM_ALL;$ORDER$$FIRST_ADJ$ War for the $CLAIMS$;$ORDER$ Guerre de $FIRST$ pour $CLAIMS$;$ORDER$$FIRST_ADJ$ Krieg um $CLAIMS$;;$ORDER$$FIRST_ADJ$ Guerra por $CLAIMS$;;;;;;;;;x
WAR_NAME_DEJURECLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War over $OTHER_TITLE$;$ORDER$ Guerre de revendication de Jure de $FIRST$ contre $SECOND$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De jure Krieg über $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ de facto guerra sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$ $FIRST$ contre $SECOND$ Conquête de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Eroberung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ conquista $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$ invasion de $OTHER_TITLE$ par $FIRST$;$ORDER$$FIRST_ADJ$ Invasion von $OTHER_TITLE$;;Invasión de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DEC_INVASION;$FIRST_ADJ$ Invasion of $SECOND$;Invasion de $SECOND$ par $FIRST_ADJ$;$FIRST_ADJ$ Invasion von $SECOND$;;Invasión $FIRST_ADJ$ de $SECOND$;;;;;;;;;x
NORMAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;$ORDER$ Guerre $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Wojna $ORDER$$FIRST$-$SECOND$;$ORDER$ Guerra de $FIRST$ contra $SECOND$;$ORDER$ guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ háború;$ORDER$$FIRST$-$SECOND$ válka;;;;;;x
AGRESSION_WAR_NAME;$ORDER$War of $FIRST$ Aggression;$ORDER$ Offensive Militaire $FIRST$;$ORDER$Krieg der $FIRST$ Aggression;Wojna $ORDER$ $FIRST$ ;$ORDER$ Guerra de Agresión de $FIRST$;$ORDER$ guerra di aggressione $FIRST$;$ORDER$War of $FIRST$ agresszió;$ORDER$ válka - $FIRST$ agrese;;;;;;x
