#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTB1900504;We shall present our demands to [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTC1900504;We should reconcile with our liege;;;;;;;;;;;;;x;
EVTOPTD1900504;We should discuss our complaints in detail;;;;;;;;;;;;;x;
EVTOPTE1900504;We are not strong enough to act yet;;;;;;;;;;;;;x;
EVTOPTF1900504;Now is not the time to act;;;;;;;;;;;;;x;
EVTDESC1900505;After losing face in front of the assembled Lords, my support among the members of my faction has melted away. I have no choice but to give up my position of leadership.;;;;;;;;;;;;;x;
EVTOPTA1900505;Curses!;;;;;;;;;;;;;x;
EVTDESC1900506;[Root.Liege.GetTitledFirstName] has refused our demands to lower crown authority in [Root.Liege.PrimaryTitle.GetName].;;;;;;;;;;;;;x;
EVTOPTA1900506;Then we must go to war!;;;;;;;;;;;;;x;
EVTOPTB1900506;[Root.Liege.GetSheHeCap] will regret this...;;;;;;;;;;;;;x;
EVTDESC1900507;[Root.Liege.GetTitledFirstName] has agreed to our demands and lowered crown authority.;;;;;;;;;;;;;x;
EVTOPTA1900507;Wonderful!;;;;;;;;;;;;;x;
EVTDESC1900508;[Root.Liege.GetTitledFirstName] has refused our demands to lower the taxes collected by the crown.;;;;;;;;;;;;;x;
EVTOPTA1900508;Then we must go to war!;;;;;;;;;;;;;x;
EVTOPTB1900508;[Root.Liege.GetSheHeCap] will regret this...;;;;;;;;;;;;;x;
EVTDESC1900509;[Root.Liege.GetTitledFirstName] has agreed to our demands to lower the taxes collected by the crown.;;;;;;;;;;;;;x;
EVTOPTA1900509;Wonderful!;;;;;;;;;;;;;x;
EVTDESC1900510;[Root.Liege.GetTitledFirstName] has refused our demands for a change of the tax privilege law.;;;;;;;;;;;;;x;
EVTOPTA1900510;Then we must go to war!;;;;;;;;;;;;;x;
EVTOPTB1900510;[Root.Liege.GetSheHeCap] will regret this...;;;;;;;;;;;;;x;
EVTDESC1900511;[Root.Liege.GetTitledFirstName] has agreed to our demands for a change of the tax privilege laws.;;;;;;;;;;;;;x;
EVTOPTA1900511;Wonderful!;;;;;;;;;;;;;x;
EVTDESC1900512;[Root.Liege.GetTitledFirstName] has refused our demands for a change of the levy privilege laws.;;;;;;;;;;;;;x;
EVTOPTA1900512;Then we must go to war!;;;;;;;;;;;;;x;
EVTOPTB1900512;[Root.Liege.GetSheHeCap] will regret this...;;;;;;;;;;;;;x;
EVTDESC1900513;[Root.Liege.GetTitledFirstName] has agreed to our demands for a change of the levy privilege laws.;;;;;;;;;;;;;x;
EVTOPTA1900513;Wonderful!;;;;;;;;;;;;;x;
EVTDESC1900514;[Root.Liege.GetTitledFirstName] has refused our demands to allow councillors to serve for life.;;;;;;;;;;;;;x;
EVTOPTA1900514;Then we must go to war!;;;;;;;;;;;;;x;
EVTOPTB1900514;[Root.Liege.GetSheHeCap] will regret this...;;;;;;;;;;;;;x;
EVTDESC1900515;[Root.Liege.GetTitledFirstName] has agreed to our demands to allow councillors to serve for life.;;;;;;;;;;;;;x;
EVTOPTA1900515;Wonderful!;;;;;;;;;;;;;x;
EVTDESC1900516;After wasting the whole meeting on useless talk and points of procedure, the other members have decided that I am unfit for leadership and have chosen a new leader.;;;;;;;;;;;;;x;
EVTOPTA1900516;Curses!;;;;;;;;;;;;;x;
EVTDESC1900517;After refusing to take decisive action against [Root.Liege.GetTitledFirstName], the other members have decided that I am unfit for leadership and have chosen a new leader.;;;;;;;;;;;;;x;
EVTOPTA1900517;Curses!;;;;;;;;;;;;;x;
EVTDESC1900518;After postponing the faction meeting one too many times, [From.GetTitledFirstName] was removed from leadership of the faction.;;;;;;;;;;;;;x;
EVTOPTA1900518;Ok;;;;;;;;;;;;;x;
EVTDESC1900519;After losing face in front of the assembled Lords, [From.GetTitledFirstName] was removed from leadership of the faction.;;;;;;;;;;;;;x;
EVTOPTA1900519;Ok;;;;;;;;;;;;;x;
EVTDESC1900520;After wasting a whole meeting on useless talk and points of procedure, [From.GetTitledFirstName] was removed from leadership of the faction.;;;;;;;;;;;;;x;
EVTOPTA1900520;Ok;;;;;;;;;;;;;x;
EVTDESC1900521;After refusing to take decisive action against [Root.Liege.GetTitledFirstName], [From.GetTitledFirstName] was removed from leadership of the faction.;;;;;;;;;;;;;x;
EVTOPTA1900521;Ok;;;;;;;;;;;;;x;
EVTTOOLTIP1900600;[Root.GetTitledFirstName] will attempt to promote [Root.GetHerHis] own standing in the faction;;;;;;;;;;;;;x;
EVTDESC1900600;I have decided that this meeting is best spent promoting the interests of my most important ally - myself. How will I proceed?;;;;;;;;;;;;;x;
EVTOPTA1900600;Hold a self-congratulatory speech;;;;;;;;;;;;;x;
EVTOPTB1900600;Ask the faction for 'membership dues';;;;;;;;;;;;;x;
EVTTOOLTIP1900601;[Root.GetTitledFirstName] will attempt to gain support for [Root.Liege.GetTitledFirstName] within the faction;;;;;;;;;;;;;x;
EVTDESC1900601;I have decided to rally support for [Root.Liege.GetTitledFirstName] among the members of my faction. What should I do to strengthen [Root.Liege.GetHerHis] rule?;;;;;;;;;;;;;x;
EVTOPTA1900601;I will praise [Root.Liege.GetHerHim] to the assembled Lords;;;;;;;;;;;;;x;
EVTOPTB1900601;I will propose financial aid to the crown;;;;;;;;;;;;;x;
EVTOPTC1900601;I will encourage a show of support;;;;;;;;;;;;;x;
EVTTOOLTIP1900602;[Root.GetTitledFirstName] will attempt to undermine's [Root.Liege.GetTitledFirstName] position within the faction;;;;;;;;;;;;;x;
EVTDESC1900602;I have decided to undermine the support for [Root.Liege.GetTitledFirstName] among the members of my faction. In which way will I weaken [Root.Liege.GetHerHis] rule?;;;;;;;;;;;;;x;
EVTOPTA1900602;Denounce [Root.Liege.GetHerHim] before the assembled Lords;;;;;;;;;;;;;x;
EVTTOOLTIP1900603;[Root.GetTitledFirstName] will propose a declaration of war to overthrow [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x;
EVTDESC1900603;"It is better to die standing than live on your knees", I called across the room as I drew my sword, "Today, we ride to overthrow that nefarious tyrant, [Root.Liege.GetTitledFirstName]"...;;;;;;;;;;;;;x;
EVTOPTA1900603;... who is with me?!;;;;;;;;;;;;;x;
EVTTOOLTIP1900604;[Root.GetTitledFirstName] will propose to demand a concession from [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x;
EVTDESC1900604;"[Root.Liege.GetTitledFirstName] cannot forever deny us what is justly ours.", I told the assembled Lords. "Surely, [Root.Liege.GetSheHe] will see reason and...";;;;;;;;;;;;;x;
EVTOPTA1900604;... reinstate the traditional rights of vassal lords;;;;;;;;;;;;;x;
EVTOPTB1900604;... reduce the oppressive taxation;;;;;;;;;;;;x;
EVTOPTC1900604;... grant us tax privileges;;;;;;;;;;;;x;
EVTOPTD1900604;... lower the burdensome demands on our levies;;;;;;;;;;;;;x;
EVTOPTE1900604;... allow councillors to serve for life;;;;;;;;;;;;;x;
EVTTOOLTIP1900700;Your speech is met with cheers and applause;;;;;;;;;;;;;x;
EVTDESC1900700;With a steady voice and eloquent rhetoric, you deliver what is perhaps the greatest speech of your life. Praising your friends, denouncing your enemies and subtly reinforcing your virtues, you soon have the whole faction on their feet, applauding and shouting your name.;;;;;;;;;;;;;x;
EVTOPTA1900700;They will surely support me now!;;;;;;;;;;;;;x;
EVTDESC1900701;With a steady voice and eloquent rhetoric, [From.GetBestName] delivers an inspiring speech to the assembled Lords. By the end of it you are on your feet, applauding and shouting [From.GetHerHis] name.;;;;;;;;;;;;;x;
EVTOPTA1900701;Hail to [From.GetTitledFirstName]!;;;;;;;;;;;;;x;
EVTTOOLTIP1900702;Your speech is well received by the audience;;;;;;;;;;;;;x;
EVTDESC1900702;Speaking to the assembled Lords, you manage to win over most of the audience with your skillful rhetoric and even elicit some applause and cheering at the end.;;;;;;;;;;;;;x;
EVTOPTA1900702;I have gained new allies;;;;;;;;;;;;;x;
EVTDESC1900703;Speaking to the assembled Lords, [From.GetBestName] manages to win over the audience with [From.GetHerHis] skillful rhetoric and even elicit some applause and cheering at the end.;;;;;;;;;;;;;x;
EVTOPTA1900703;Well done!;;;;;;;;;;;;;x;
EVTTOOLTIP1900704;Your speech meets a tepid reception;;;;;;;;;;;;;x;
EVTDESC1900704;Stumbling on a word here and there, you nonetheless manage to deliver a more or less coherent speech to the assembled Lords. The applause is merely polite, but at least nobody is heckling you.;;;;;;;;;;;;;x;
EVTOPTA1900704;At least I did a little good;;;;;;;;;;;;;x;
EVTDESC1900705;Stumbling on a word here and there, [From.GetBestName] manages to deliver a more or less coherent speech to the assembled Lords. The applause is merely polite, but [From.GetSheHe] has at least shown some leadership.;;;;;;;;;;;;;x;
EVTOPTA1900705;*yawn*;;;;;;;;;;;;;x;
EVTTOOLTIP1900706;Your speech is poorly received;;;;;;;;;;;;;x;
EVTDESC1900706;Your attempts to win over the assembled Lords with your rhetoric falls on deaf ears. You stumble on phrasing, mispronounce words and forget the name of an important noble in the room. What little applause you get at the end is muted by jeers, but at least nobody is laughing.;;;;;;;;;;;;;x;
EVTOPTA1900706;I suppose it wasn't a complete disaster;;;;;;;;;;;;;x;
EVTDESC1900707;[From.GetBestName]'s attempts to win over the assembled Lords with rhetoric falls on deaf ears. [From.GetSheHeCap] stumbles on phrasing, mispronounces words and forgets the name of an important noble in the room. What little applause there is at the end is muted by the jeers.;;;;;;;;;;;;;x;
EVTOPTA1900707;Boo!;;;;;;;;;;;;;x;
EVTTOOLTIP1900708;You are laughed out of the room;;;;;;;;;;;;;x;
EVTDESC1900708;Mere seconds after you begin to speak to the assembled Lords, you know that things are about to go badly. What follows are several long minutes of humiliation as you struggle your way through what you intended to be an inspiring speech. In the end, you are laughed out of the room and uncermoniously removed from leadership.;;;;;;;;;;;;;x;
EVTOPTA1900708;How could this have happened to me?!;;;;;;;;;;;;;x;
EVTDESC1900709;Mere seconds after [From.GetBestName] begins to speak to the assembled Lords, you know that things are about to go badly. What follows is the worst speech you have been forced to listen to in your life, and the only thing louder than the jeers is the laughter. In the end, the whole faction agrees to remove [From.GetFirstName] from leadership.;;;;;;;;;;;;;x;
EVTOPTA1900709;Get that clown out of here!;;;;;;;;;;;;;x;
EVTTOOLTIP1900710;The assembled Lords will vote on your proposal for membership dues;;;;;;;;;;;;;x;
EVTDESC1900710;One by one, the assembled Lords raised their voices to vote on the payment of membership dues to strengthen the faction. At last all votes were in and...;;;;;;;;;;;;;x;
EVTOPTA1900710;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900710;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900711;[From.GetBestName]'s proposal for the payment of membership dues passed, and now I must pay my share.;;;;;;;;;;;;;x;
EVTDESC1900712;[From.GetBestName]'s proposal for the payment of membership dues was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900713;Your rousing speech greatly improves the faction's mood;;;;;;;;;;;;;x;
EVTDESC1900713;Speaking to the assembled Lords, I praised the virtues of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of our duty towards our liege. I could tell they took my words seriously, and the meeting ended with an affirmation of our loyalty to the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTOPTA1900713;[Root.Liege.GetTitledFirstName] can count on us!;;;;;;;;;;;;;x;
EVTDESC1900714;Speaking to the assembled Lords, [From.GetTitledFirstName] praised the virtues of [Root.Liege.GetTitledFirstName] and spoke of our duty towards our liege. We were taken in by [From.GetHerHis] eloquent words, and the ended meeting with an affirmation of our loyalty to the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTDESC1900715;I have learned that [From.GetTitledFirstName] spoke [From.GetHerHis] support for me at the faction meeting in [From.Capital.GetName], greatly improving the mood of [From.GetHerHis] faction.;;;;;;;;;;;;;x;
EVTTOOLTIP1900716;Your supportive words slightly improves the faction's mood;;;;;;;;;;;;;x;
EVTDESC1900716;Speaking to the assembled Lords, I praised the virtues of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of our duty towards our liege. Though my words mostly fell on deaf ears, the show of support nonetheless eased the mood of the room a little.;;;;;;;;;;;;;x;
EVTOPTA1900716;At least I did some good;;;;;;;;;;;;;x;
EVTDESC1900717;Speaking to the assembled Lords, [From.GetTitledFirstName] praised the virtues of [Root.Liege.GetTitledFirstName] and spoke of our duty towards our liege. Though [From.GetHerHis] words mostly fell on deaf ears, the show of support nonetheless eased the mood of the room a little.;;;;;;;;;;;;;x;
EVTDESC1900718;I have learned that [From.GetTitledFirstName] spoke [From.GetHerHis] support for me at the faction meeting in [From.Capital.GetName], slightly improving the mood of [From.GetHerHis] faction.;;;;;;;;;;;;;x;
EVTTOOLTIP1900719;Your failed speech only make things worse;;;;;;;;;;;;;x;
EVTDESC1900719;Speaking to the assembled Lords, I praised the virtues of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of our duty towards our liege. Unfortunately my words were not well received, provoking jeers and cries of dissent from the assembled audience.;;;;;;;;;;;;;x;
EVTOPTA1900719;I fear I have done more harm than good...;;;;;;;;;;;;;x;
EVTDESC1900720;Speaking to the assembled Lords, [From.GetTitledFirstName] praised the virtues of [Root.Liege.GetTitledFirstName] and spoke of our duty towards our liege. However, [From.GetHerHis] weak and sycophantic arguments failed to capture the audience, and if anything managed to turn the room against the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTDESC1900721;I have learned that [From.GetTitledFirstName] spoke [From.GetHerHis] support for me at the faction meeting in [From.Capital.GetName] but only managed to turn [From.GetHerHis] faction against me.;;;;;;;;;;;;;x;
EVTTOOLTIP1900722;The assembled Lords will vote on your proposal for financial aid to the crown;;;;;;;;;;;;;x;
EVTDESC1900722;One by one, the assembled Lords raised their voices to vote on the payment of financial aid to the crown. At last all votes were in and...;;;;;;;;;;;;;x;
EVTOPTA1900722;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900722;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900723;[From.GetBestName]'s proposal for the payment of financial aid to the crown passed, and now I must pay my share.;;;;;;;;;;;;;x;
EVTDESC1900724;[From.GetBestName]'s proposal for the payment of financial aid to the crown was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900725;The assembled Lords will vote on your proposal for a show of support towards [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x;
EVTDESC1900725;One by one, the assembled Lords raised their voices to vote on a show of support for [Root.Liege.GetTitledFirstName]. At last all votes were in and...;;;;;;;;;;;;;x;
EVTOPTA1900725;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900725;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900726;[From.GetBestName]'s proposal for a show of support towards [Root.Liege.GetTitledFirstName] passed.;;;;;;;;;;;;;x;
EVTDESC1900727;[From.GetBestName]'s proposal for a show of support towards [Root.Liege.GetTitledFirstName] was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900728;Your searing denouncement greatly worsens the faction's mood;;;;;;;;;;;;;x;
EVTDESC1900728;Speaking to the assembled Lords, I denounced the misrule of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of how our rights and liberties were being taken away. I could tell they took my words seriously, and the meeting ended with agreement that we must find a way to reduce the power of the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTOPTA1900728;They are wise to listen to my warnings;;;;;;;;;;;;;x;
EVTDESC1900729;Speaking to the assembled Lords, [From.GetTitledFirstName] denounced the misrule of [Root.Liege.GetTitledFirstName] and complained of how our rights and liberties were being taken away. We were taken in by [From.GetHerHis] eloquent words, and the meeting ended with agreement that we must find a way to reduce the power of the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTDESC1900730;I have learned that [From.GetTitledFirstName] denounced me harshly at the faction meeting in [From.Capital.GetName], and the whole faction is now more rebellious.;;;;;;;;;;;;;x;
EVTTOOLTIP1900731;Your doubts and concerns slightly worsens the faction's mood;;;;;;;;;;;;;x;
EVTDESC1900731;Speaking to the assembled Lords, I denounced the misrule of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of how our rights and liberties were being taken away. Though my words mostly fell on deaf ears, such open dissent nonetheless soured the mood of the room a little.;;;;;;;;;;;;;x;
EVTOPTA1900731;Harsh truths are hard to accept;;;;;;;;;;;;;x;
EVTDESC1900732;Speaking to the assembled Lords, [From.GetTitledFirstName] denounced the misrule of [Root.Liege.GetTitledFirstName] and complained of how our rights and liberties were being taken away. Though [From.GetHerHis] words mostly fell on deaf ears, such open dissent nonetheless soured the mood of the room a little.;;;;;;;;;;;;;x;
EVTDESC1900733;I have learned that [From.GetTitledFirstName] denounced me harshly at the faction meeting in [From.Capital.GetName], and the whole faction is now slightly more rebellious.;;;;;;;;;;;;x;
EVTTOOLTIP1900734;Your attempt to sow discontent backfires;;;;;;;;;;;;;x;
EVTDESC1900734;Speaking to the assembled Lords, I denounced the misrule of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of how our rights and liberties were being taken away. Unfortunately they chose to distrust me, claiming that I had my own selfish motives for trying to turn them against the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTOPTA1900734;I only managed to make them more loyal...;;;;;;;;;;;;;x;
EVTDESC1900735;Speaking to the assembled Lords, [From.GetTitledFirstName] denounced the misrule of [Root.Liege.GetTitledFirstName] and complained of how our rights and liberties were being taken away. However, [From.GetHerHis] self-serving arguments failed to capture the audience, and only managed to further increase our loyalty to the [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;;;;;x;
EVTDESC1900736;I have learned that [From.GetTitledFirstName] denounced me harshly at the faction meeting in [From.Capital.GetName], but only managed to make the faction even more loyal to me.;;;;;;;;;;;;;x;
EVTTOOLTIP1900737;The assembled Lords will vote on your proposal for a declaration of war;;;;;;;;;;;;;x;
EVTDESC1900737;One by one, the assembled Lords raised their voices to vote on whether to declare war on [Root.Liege.GetTitledFirstName]. At last all votes were in and...;;;;;;;;;;;;;x;
EVTOPTA1900737;... we go to war!;;;;;;;;;;;;;x;
EVTOPTB1900737;... I lost the vote and was removed from power;;;;;;;;;;;;;x;
EVTDESC1900738;[From.GetBestName]'s proposal to declare war on our liege passed, and I must prepare for battle.;;;;;;;;;;;;;x;
EVTDESC1900739;[From.GetBestName]'s proposal to declare war on our liege was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900740;The assembled Lords will vote on your proposal to demand a reduction in crown authority;;;;;;;;;;;;;x;
EVTDESC1900740;One by one, the assembled Lords raised their voices to vote on whether to demand a reduction in the crown authority of [Root.Liege.PrimaryTitle.GetName]. At last all votes were in and......;;;;;;;;;;;;;x;
EVTOPTA1900740;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900740;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900741;[From.GetBestName]'s proposal to demand a reduction in the crown authority of [Root.Liege.PrimaryTitle.GetName] has passed and a letter with our demands has been sent to [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESC1900742;[From.GetBestName]'s proposal to demand a reduction in the crown authority of [Root.Liege.PrimaryTitle.GetName] was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900743;The assembled Lords will vote on your proposal to demand a reduction of the taxes collected by the crown;;;;;;;;;;;;;x;
EVTDESC1900743;One by one, the assembled Lords raised their voices to vote on whether to to demand a reduction of the taxes collected by the crown. At last all votes were in and......;;;;;;;;;;;;;x;
EVTOPTA1900743;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900743;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900744;[From.GetBestName]'s proposal to to demand a reduction of the taxes collected by the crown has passed and a letter with our demands has been sent to [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESC1900745;[From.GetBestName]'s proposal to to demand a reduction of the taxes collected by the crown was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900746;The assembled Lords will vote on your proposal on a change of the tax privilege laws in favor of vassal lords;;;;;;;;;;;;;x;
EVTDESC1900746;One by one, the assembled Lords raised their voices to vote on whether to demand a change of the tax privilege laws in favor of vassal lords. At last all votes were in and......;;;;;;;;;;;;;x;
EVTOPTA1900746;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900746;... the proposal failed;;;;;;;;;;;;;x;3
EVTDESC1900747;[From.GetBestName]'s proposal to demand a change of the tax privilege laws in favor of vassal lords has passed and a letter with our demands has been sent to [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESC1900748;[From.GetBestName]'s proposal to demand a change of the tax privilege laws in favor of vassal lords was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900749;The assembled Lords will vote on your proposal on a change in the levy privilege law to the benefit of vassal lords;;;;;;;;;;;;;x;
EVTDESC1900749;One by one, the assembled Lords raised their voices to vote on whether to demand a change in the levy privilege law in favor of of vassal lords. At last all votes were in and......;;;;;;;;;;;;;x;
EVTOPTA1900749;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900749;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900750;[From.GetBestName]'s proposal to demand a change in the levy privilege law in favor of vassal lords has passed and a letter with our demands has been sent to [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESC1900751;[From.GetBestName]'s proposal to demand a change in the levy privilege law in favor of vassal lords was defeated in a vote.;;;;;;;;;;;;;x;
EVTTOOLTIP1900752;The assembled Lords will vote on your proposal on a change in the council laws to allow councillors to serve for life;;;;;;;;;;;;;x;
EVTDESC1900752;One by one, the assembled Lords raised their voices to vote on whether to demand a change in the council laws to allow councillors to serve for life. At last all votes were in and......;;;;;;;;;;;;;x;
EVTOPTA1900752;... the proposal passed;;;;;;;;;;;;;x;
EVTOPTB1900752;... the proposal failed;;;;;;;;;;;;;x;
EVTDESC1900753;[From.GetBestName]'s proposal to demand a change in the council laws to allow councillors to serve for life has passed and a letter with our demands has been sent to [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESC1900753;[From.GetBestName]'s proposal to demand a change in the council laws to allow councillors to serve for life was defeated in a vote.;;;;;;;;;;;;;x;
EVTDESC1900800;As the faction members gathered in [Root.Capital.GetName], a murmur of discontent spread among the assembled Lords. My attempts to address the faction were met with jeers and jibes, and it soon became clear that my leadership was being challenged through a vote of no confidence.;;;;;;;;;;;;;x;
EVTOPTA1900800;I fear no vote!;;;;;;;;;;;;;x;
EVTOPTB1900800;Step down voluntarily;;;;;;;;;;;;;x;
EVTDESC1900801;One by one, the assembled Lords raised their voices to vote on the proposal to have me removed from leadership of the faction. At last all votes were in and...;;;;;;;;;;;;;x;
EVTOPTA1900801;... I have been usurped!;;;;;;;;;;;;;x;
EVTOPTB1900801;... I easily defeated the upstart challengers;;;;;;;;;;;;;x;
EVTDESC1900802;[From.GetBestName] has stepped down from leadership of the faction after being challenged with a vote of no confidence.;;;;;;;;;;;;;x;
EVTDESC1900803;[From.GetBestName] has been removed from leadership of the faction after being defeated in a vote of no confidence.;;;;;;;;;;;;;x;
EVTDESC1900804;[From.GetBestName] has retained leadership of the faction after defeating a vote of no confidence.;;;;;;;;;;;;;x;
EVTDESC1900900;As the faction members gathered in [From.Capital.GetName], a murmur of discontent spread among the assembled Lords. [From.GetBestName]'s attempts to address the faction were met with jeers and jibes, and it soon became clear that [From.GetHerHis] leadership was being challenged through a vote of no confidence.;;;;;;;;;;;;;x;
EVTOPTA1900900;Yes, [From.GetTitledFirstName] must go!;;;;;;;;;;;;;x;
EVTOPTB1900900;No, [From.GetTitledFirstName] has my support;;;;;;;;;;;;;x;
EVTDESC1900901;[From.GetBestName] stands up before the assembled Lords and proposes the payment of membership dues, "to strengthen our cause and allow us to stand together against our foes". Though [From.GetSheHe] claims unselfish motives, opponents of the proposal claim that [From.GetSheHe] intends to seize the funds for [From.GetHerHim]self.;;;;;;;;;;;;;x;
EVTOPTA1900901;Yes, we will do our part for the faction;;;;;;;;;;;;;x;
EVTOPTB1900901;No, this proposal is fueled by greed;;;;;;;;;;;;;x;
EVTDESC1900902;[From.GetBestName] stands up before the assembled Lords and proposes the levy of a special tax to be paid as financial aid to the crown, "for the good of the realm and the good of our faction is one and the same".;;;;;;;;;;;;;x;
EVTOPTA1900902;Yes, the crown needs our aid;;;;;;;;;;;;;x;
EVTOPTB1900902;No, [Root.Liege.GetTitledFirstName] is rich enough;;;;;;;;;;;;;x;
EVTDESC1900903;[From.GetBestName] stands up before the assembled Lords and proposes a show of support for [Root.Liege.GetTitledFirstName] on behalf of the faction, "for the good of the realm and the good of our faction is one and the same".;;;;;;;;;;;;;x;
EVTOPTA1900903;Yes, [Root.Liege.GetSheHe] shall have our support;;;;;;;;;;;;;x;
EVTOPTB1900903;No, we should not tie our fortunes to the crown;;;;;;;;;;;;;x;
EVTDESC1900904;[From.GetBestName] stands up before the assembled Lords and proposes a declaration of war against "that tyrant, that despot, that enemy of all that is just and good, that perfidious viper in human guise who calls [Root.Liege.GetHerHim]self [Root.Liege.GetTitledFirstName]".;;;;;;;;;;;;;x;
EVTOPTA1900904;Yes, [Root.Liege.GetTitledFirstName] must be overthrown!;;;;;;;;;;;;;x;
EVTOPTB1900904;No, this is too drastic an action;;;;;;;;;;;;;x;
EVTDESC1900905;[From.GetBestName] stands up before the assembled Lords and proposes to deliver an ultimatum to [Root.Liege.GetTitledFirstName] demanding a reduction in crown authority and restoration of the rights and privileges enjoyed by vassal lords.;;;;;;;;;;;;;x;
EVTOPTA1900905;Yes, this is a just demand;;;;;;;;;;;;;x;
EVTOPTB1900905;No, the laws should stay as they are;;;;;;;;;;;;;x;
