#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
base_levies;Vassal Levies;Levées vassales;Aushebungsrecht;;Vassal Levies;;;;;;;x;;;;
base_levies_desc;The base number of troops we can raise from our vassals depends on the §Ynumber of holdings§! in the realm. A larger realm can raise fewer troops per vassal.;Le nombre de base des troupes que peuvent nous fournir nos vassaux dépend du §Ynombre de fief§! dans le royaume. Un royaume plus grand pourra faire lever plus de troupes à chaque vassal.;Die Anzahl der Truppen, die wir von unseren Vasallen ausheben können, hängt von der §YGröße des Besitztums§! ab. Ein größeres Reich kann pro Vasall weniger Truppen ausheben.;;The base number of troops we can raise from our vassals depends on the §Ynumber of holdings§! in the realm. A larger realm can raise fewer troops per vassal.;;;;;;;x;;;;
beauty_queen_1;Famous Beauty;Famous Beauty;Famous Beauty;;Famous Beauty;;;;;;;;;x;;
beauty_queen_2;Famous Beauty;Famous Beauty;Famous Beauty;;Famous Beauty;;;;;;;;;x;;
beauty_queen_3;Famous Beauty;Famous Beauty;Famous Beauty;;Famous Beauty;;;;;;;;;x;;
begone_sorcerer;You send the pagan away.;Vous faites sortir cette misérable créature.;Ihr schickt die elende Kreatur fort.;;Echas a la criatura miserable.;;;;;;;;;x;;
bloodlust;Dreams of Conquest;Rêves de conquête;Träume von Eroberung;;Dreams of Conquest;;;;;;;x;;;;
bloodlust_desc;This is a special trait that encourages the AI to be more aggressive.;Il s'agit d'une caractéristique particulière qui incite l'IA à être plus agressive.;Dies ist eine besondere Eigenschaft, das die KI aggressiver macht.;;This is a special trait that encourages the AI to be more aggressive.;;;;;;;x;;;;
brm_rebel_offer_rejected;Rebel Offer Rejected;Offre Rebelle rejetée;Rebellen Angebot abgelehnt;;Rebel Offer Rejected;;;;;;;;x;;;
brm_reduced_tax;Reduced Taxation;Taxes réduites;Steuern reduziert;;Reduced Taxation;;;;;;;;;x;;
brm_revolt;Peasant Revolt;Révolte paysanne;Massive Revolte;;Peasant Revolt;;;;;;;;x;;;
champion;Champion;Champion;Champion;;Champion;;;;;;;;;x;;
champion_desc;This character has fought in many battles, including ones against heathens.;This character has fought in many battles, including ones against heathens.;This character has fought in many battles, including ones against heathens.;;This character has fought in many battles, including ones against heathens.;;;;;;;;;x;;
chosen_heir;Chosen Heir;Chosen Heir;Chosen Heir;;Chosen Heir;;;;;;;;;;;x
civil_war;Civil War;Guerre civile;Bürgerkrieg;;Civil War;;;;;;x;;;;;
coa_plain_pagan;Pagan;Pagan;Pagan;;Pagan;;;;;;;;;x;;
controls_antipope;Controls the Anti-Pope;Contrôle de l'Anti-Pape;Kontrolliert den Gegenpapst;;Controls the Anti-Pope;;;;;;;x;;;;
converted_province_from;Province Conversions;Province Conversions;Province Conversions;;Province Conversions;;;;;x;;;;;;
converted_province_to;Province Conversions;Province Conversions;Province Conversions;;Province Conversions;;;;;x;;;;;;
coruler;Co-Ruler;Co-Ruler;Co-Ruler;;Co-Ruler;;;;;;;;;x;;
coruler_desc;This character is, legally, sharing in the realm's rule.;This character is, legally, sharing in the realm's rule.;This character is, legally, sharing in the realm's rule.;;This character is, legally, sharing in the realm's rule.;;;;;;;;;x;;
counterspy;Informant;Informant;Informant;;Informant;;;;;;;;;x;;
counterspy_desc;This character has revealed a plot.;This character has revealed a plot.;This character has revealed a plot.;;This character has revealed a plot.;;;;;;;;;x;;
covets_inheritance;Covets Inheritance;Covets Inheritance;Covets Inheritance;;Covets Inheritance;;;;;;;;;;;x
crowned_by_pope;Crowned;Couronné(e);Gekrönt;;Crowned;;;;;;;;x;;;
crowned_by_pope_desc;Being crowned by the Pope and having received the Imperial Regalia symbolises the blessing of the Pope and official recognised status as the Holy Roman Emperor.;Être couronné par le Pape et recevoir les Regalia Impériaux symbolisent la bénédiction du Saint Père et la reconnaissance officielle du statut de Saint Empereur Romain.;Durch den Papst gekrönt und durch Erhalt der Reichskleinodien der offiziell anerkannte römisch-deutsche Kaiser.;;Being crowned by the Pope and having received the Imperial Regalia symbolises the blessing of the Pope and official recognised status as the Holy Roman Emperor.;;;;;;x;;;;;
ctt_gb_rumours_children;§YYour children§! will hear of this\n;§YYour children§! will hear of this\n;§YYour children§! will hear of this\n;;§YYour children§! will hear of this\n;;;;;;;;;;;
ctt_gb_rumours_friend;§YYour Friends§! will hear of this\n;§YYour Friends§! will hear of this\n;§YYour Friends§! will hear of this\n;;§YYour Friends§! will hear of this\n;;;;;;;;;;;
ctt_gb_rumours_heir;§YYour heir§! will hear of this\n;§YYour heir§! will hear of this\n;§YYour heir§! will hear of this\n;;§YYour heir§! will hear of this\n;;;;;;;;;;;
ctt_gb_rumours_lords;§YThe lords of the realm§! will hear of this\n;§YThe lords of the realm§! will hear of this\n;§YThe lords of the realm§! will hear of this\n;;§YThe lords of the realm§! will hear of this\n;;;;;;;;;;;
ctt_gb_rumours_lover;§YYour Lover§! will hear of this\n;§YYour Lover§! will hear of this\n;§YYour Lover§! will hear of this\n;;§YYour Lover§! will hear of this\n;;;;;;;;;;;
ctt_gb_rumours_neighbours;§YThe neighbouring realms§! will hear of this\n;§YThe neighbouring realms§! will hear of this\n;§YThe neighbouring realms§! will hear of this\n;;§YThe neighbouring realms§! will hear of this\n;;;;;;;;;;;
ctt_gb_rumours_sibling;§YYour siblings§! will hear of this\n;§YYour siblings§! will hear of this\n;§YYour siblings§! will hear of this\n;;§YYour siblings§! will hear of this\n;;;;;;;;;;;
CTT_MUST_BE_REFORMED;You must be either a §Yreformed Pagan§! or a member of any §Ynon-pagan religion group§!\n;You must be either a §Yreformed Pagan§! or a member of any §Ynon-pagan religion group§!\n;You must be either a §Yreformed Pagan§! or a member of any §Ynon-pagan religion group§!\n;;You must be either a §Yreformed Pagan§! or a member of any §Ynon-pagan religion group§!\n;;;;;;;;;;;
CTT_REP_IN_RANGE;If you take this city, it will be §GIN-RANGE§! of your effective administrative range, incurring no\noverextension.\n;If you take this city, it will be §GIN-RANGE§! of your effective administrative range, incurring no\noverextension.\n;If you take this city, it will be §GIN-RANGE§! of your effective administrative range, incurring no\noverextension.\n;;If you take this city, it will be §GIN-RANGE§! of your effective administrative range, incurring no\noverextension.\n;;;;;;;;;;;
CTT_REP_OUT_RANGE;If you take this city, it will be §ROUT OF RANGE§! of your effective administrative range, incurring an\noverextension penalty.\n;If you take this city, it will be §ROUT OF RANGE§! of your effective administrative range, incurring an\noverextension penalty.\n;If you take this city, it will be §ROUT OF RANGE§! of your effective administrative range, incurring an\noverextension penalty.\n;;If you take this city, it will be §ROUT OF RANGE§! of your effective administrative range, incurring an\noverextension penalty.\n;;;;;;;;;;;
ctt_schism_catholic_rome;You or the Pope §Yfully control§! Rome and the temple holder is not a heretic\n;You or the Pope §Yfully control§! Rome and the temple holder is not a heretic\n;You or the Pope §Yfully control§! Rome and the temple holder is not a heretic\n;;You or the Pope §Yfully control§! Rome and the temple holder is not a heretic\n;;;;;;;;;;;
ct_jewish_community_1;Small Jewish Community;Petite communauté juive;Kleine Jüdische Gemeinde;;Small Jewish Community;;;;;;;;;x;;
ct_jewish_community_2;Jewish Community;Communauté juive;Jüdische Gemeinde;;Jewish Community;;;;;;;;;x;;
ct_jewish_community_3;Large Jewish Community;Grande communauté juive;Große Jüdische Gemeinde;;Large Jewish Community;;;;;;;;;x;;
ct_rep_arsenal_3;Great Arsenal;Grand arsenal;Großes Arsenal;;Gran arsenal;;;;;;;;;x;;
ct_rep_arsenal_3_desc;This heavily fortified collection of shipyards and armories is nothing less than an industrial complex centered around the docks of the Republic's capital.;Ce regroupement très fortifié de chantiers navals et d’armureries n’est rien d’autre qu’un complexe industriel centralisé autour des quais de la capitale de la République.;Diese schwer befestigte Ansammlung von Werften und Waffenkammern ist nicht weniger als ein industrieller Komplex rund um den Hafen der republikanischen Hauptstadt.;;Este conjunto fortificado de astilleros y armerías es todo un complejo industrial situado en torno a los muelles de la capital de la República.;;;;;;;;;x;;
CURSES;Curses;Malédiction !;Curses;;Curses;;;;;;;;;x;;
custom_minor_title;Gain a minor title;Gain a minor title;Gain a minor title;;Gain a minor title;;;;;;;;;;;
c_zhmud_adj;Zhmudian;Zhmudienne;Zhmudian;;Zhmudian;;;;;;;;;x;;
DEATH_DUNGEON_NO_KILLER;died from complications during childbirth;morte de complications durant l'accouchement;starb wegen Komplikationen während der Geburt;;died from complications during childbirth;;;;;;;;;x;;
death_escape;Died attempting a daring escape;Died attempting a daring escape;Died attempting a daring escape;;Died attempting a daring escape;;;;;;;;;;;
DECADENCE_DESC;Decadence measures the introvertness and complacency of your dynasty. It is increased by §Rsinful traits§! and §Rlong periods of peace§! and decreased by §Gvirtous traits§!, §Greligious observance§! and §Gpersonal participation in battles§!.\n\nOnly the §Yhighest ranking ruler(s)§! of your dynasty in each realm will have an effect on decadence.;La décadence se mesure à l'introvertion et à l'autosuffisance de votre dynastie. Elle s'accroit par les §Rpêchés§! et de §Rlongues périodes de paix§! et décroit grâce aux §Gvertus§!, §Gl'observance des principes religieux§! et la §Gla participation active aux batailles§!.\n\nSeul le §Ymembre le plus élevé§! de votre dynastie dans chaque royaume aura un effet sur la décadence.;Dekadenz messt die Innenschau und Selbstgefälligkeit Ihrer Dynastie. Es wird durch §Rsündhafte Eigenschaften§! und §Rlange Zeiten des Friedens erhöht§! und sinkt nach §Gtugendhafte Merkmale§!, §Greligiöse Einhaltung§! und §Gpersönliche Teilnahme an Schlachten§!.\n\n Nur der §Yhöchstrangige Herrscher(n)§! Ihrer Dynastie in jedes Reich werden einen Einfluss auf Dekadenz haben.;;Decadence measures the introvertness and complacency of your dynasty. It is increased by §Rsinful traits§! and §Rlong periods of peace§! and decreased by §Gvirtous traits§!, §Greligious observance§! and §Gpersonal participation in battles§!.\n\nOnly the §Yhighest ranking ruler(s)§! of your dynasty in each realm will have an effect on decadence.;;;;;;;;;;;
decadent1;Legitimacy Questioned;Légitimité remise en cause;Hinterfragte Legitimität;;Legitimacy Questioned;;;;;;;;;x;;
decadent1_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;La décadence de notre dynastie a eu comme conséquence la remise en cause de notre droit à régner par nos vassaux.;Unsere Dekandenz läßt unsere Vasallen unseren Herrschaftsanspruch in Frage stellen.;;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;;;;;;;;x;;
decadent2;Legitimacy Questioned;Légitimité remise en cause;Hinterfragte Legitimität;;Legitimacy Questioned;;;;;;;;;x;;
decadent2_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;La décadence de notre dynastie a eu comme conséquence la remise en cause de notre droit à régner par nos vassaux.;Unsere Dekandenz läßt unsere Vasallen unseren Herrschaftsanspruch in Frage stellen.;;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;;;;;;;;x;;
decadent3;Legitimacy Questioned;Légitimité remise en cause;Hinterfragte Legitimität;;Legitimacy Questioned;;;;;;;;;x;;
decadent3_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;La décadence de notre dynastie a eu comme conséquence la remise en cause de notre droit à régner par nos vassaux.;Unsere Dekandenz läßt unsere Vasallen unseren Herrschaftsanspruch in Frage stellen.;;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;;;;;;;;x;;
decadent4;Legitimacy Questioned;Légitimité remise en cause;Hinterfragte Legitimität;;Legitimacy Questioned;;;;;;;;;x;;
decadent4_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;La décadence de notre dynastie a eu comme conséquence la remise en cause de notre droit à régner par nos vassaux.;Unsere Dekandenz läßt unsere Vasallen unseren Herrschaftsanspruch in Frage stellen.;;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;;;;;;;;x;;
decadent5;Legitimacy Questioned;Légitimité remise en cause;Hinterfragte Legitimität;;Legitimacy Questioned;;;;;;;;;x;;
decadent5_desc;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;La décadence de notre dynastie a eu comme conséquence la remise en cause de notre droit à régner par nos vassaux.;Unsere Dekandenz läßt unsere Vasallen unseren Herrschaftsanspruch in Frage stellen.;;Our dynasty's decadence has resulted in our right to rule being questioned by our vassals.;;;;;;;;;x;;
declined_ransom;Declined Ransom;Declined Ransom;Declined Ransom;;Declined Ransom;;;;;;;;;x;;
defenderbonus_forest;Forest;Forêt;Wald;;Forest;;;;;;;;;x;;
defenderbonus_hills;Hills;Collines;Hügel;;Colinas;;;;;;;;;x;;
defenderbonus_mountain;Mountains;Montagnes;Berge;;Montañas;;;;;;;;;x;;
desc_controls_antipope;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;Ce personnage entend prendre des décisions sur les affaires de l'Eglise bien qu'il soit un souverain temporel. Cette attitude peut être vue comme à la limite de l'orthodoxie.;Dieser Charakter nimmt sich heraus, um über die Angelegenheiten der Kirche zu entscheiden, trotz, seiner zeitlichen Herschaft. Diese Einstellung könnte als ketzerische Grenzlinie angesehen werden.;;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;;;;;;;x;;;;
desc_estates_1;Provides a character with a yearly income of §G1.00§! wealth.;Fournit à un personnage un revenu annuel de §G1.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G1.00§!.;;Provides a character with a yearly income of §G1.00§! wealth.;;;;;;;;;x;;
desc_estates_2;Provides a character with a yearly income of §G2.00§! wealth.;Fournit à un personnage un revenu annuel de §G2.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G2.00§!.;;Provides a character with a yearly income of §G2.00§! wealth.;;;;;;;;;x;;
desc_estates_3;Provides a character with a yearly income of §G3.00§! wealth.;Fournit à un personnage un revenu annuel de §G3.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G3.00§!.;;Provides a character with a yearly income of §G3.00§! wealth.;;;;;;;;;x;;
desc_estates_4;Provides a character with a yearly income of §G4.00§! wealth.;Fournit à un personnage un revenu annuel de §G4.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G4.00§!.;;Provides a character with a yearly income of §G4.00§! wealth.;;;;;;;;;x;;
desc_estates_5;Provides a character with a yearly income of §G5.00§! wealth.;Fournit à un personnage un revenu annuel de §G5.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G5.00§!.;;Provides a character with a yearly income of §G5.00§! wealth.;;;;;;;;;x;;
desc_show_appreciation;There are benefits to a happy wife...;There are benefits to a happy wife...;There are benefits to a happy wife...;;There are benefits to a happy wife...;;;;;;;;;x;;
desc_sleep_on_the_couch;Hell hath no fury...;Hell hath no fury...;Hell hath no fury...;;Hell hath no fury...;;;;;;;;;x;;
devious_plotter;Devious Schemer;Intrigant sournois;Hinterhältiger Verschwörer;;Devious Schemer;;;;;;;x;;;;
de_facto_ruler;De Facto Ruler;De Facto Ruler;De Facto Ruler;;De Facto Ruler;;;;;;;;;x;;
de_facto_ruler_desc;Although not the legal ruler, this character holds all the real power.;Although not the legal ruler, this character holds all the real power.;Although not the legal ruler, this character holds all the real power.;;Although not the legal ruler, this character holds all the real power.;;;;;;;;;x;;
DIPLO_OF_POPE;Base;Base;Basis;;Base;;;;;;;;;x;;
dishonorable1;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable10;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable10_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable1_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable2;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable2_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable3;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable3_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable4;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable4_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable5;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable5_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable6;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable6_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable7;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable7_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable8;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable8_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable9;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable9_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
disinherited;Deprived of Inheritance;Deprived of Inheritance;Deprived of Inheritance;;Deprived of Inheritance;;;;;;;;;;;x
dissent_sowed;Relations Sabotaged;Relations sabotées;Beziehungen sabotiert;;Relations Sabotaged;;;;;;;x;;;;
divination_begin;The divination begins;Tenir une divination;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x;;
divination_begins;The Vates ready their weapons.;Le bourreau prépare sa corde.;Der Henker bereitet das Seil vor.;;El verdugo prepara su cuerda.;;;;;;;;;x;;
divination_victory;The promise of victory raises the morale of our warriors;The promise of victory raises the morale of our warriors;The promise of victory raises the morale of our warriors;;The promise of victory raises the morale of our warriors;;;;;;;;;x;;
divination_wealth;The promise of wealth reinvigorates trade in our lands;The promise of wealth reinvigorates trade in our lands;The promise of wealth reinvigorates trade in our lands;;The promise of wealth reinvigorates trade in our lands;;;;;;;;;x;;
divine_blood;Divine Blood;Sang Divin;Göttliches Blut;;Divine Blood;;;;;;;;;x;;
divine_blood_desc;The blood of the Gods flows through the veins of this character's dynasty.;Le sang des Dieux coulent dans les veines de ce personnage de votre dynastie;Das Blut von Göttern fließt durch die Adern der Dynastie dieses Charakters.;;The blood of the Gods flows through the veins of this character's dynasty.;;;;;;;;;x;;
donate_money_to_ansar;Donate 300¤ to the Ansar;Donner 300¤ aux Bektachis;Spendet den Bektaschi 300¤;;Donar 300¤ a los Ansar;;;;;;;;;;;
donate_money_to_ansar_desc;I can donate money to the Ansar in exchange for Piety.;Je peux donner de l'argent aux Bektachis en échange de piété.;Ich kann den Bektaschi Geld spenden im Tausch gegen Frömmigkeit.;;Puedo hacer una donación a los Ansar. A cambio obtendré Piedad.;;;;;;;;;x;;
dresses_as_man;Dressing in Man's Clothes;Dressing in Man's Clothes;Dressing in Man's Clothes;;Dressing in Man's Clothes;;;;;;;;;x;;
dresses_as_man_abm;Dressing in Man's Clothes;Dressing in Man's Clothes;Dressing in Man's Clothes;;Dressing in Man's Clothes;;;;;;;;;x;;
