#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCStr.1;Your prisoner was taken that night in the torture room. The Executioner, with a quick and clever, a hand grabs the nose and then slowly cut the flesh with the knife in the other hand while the head helps maintain femement. In 5 minutes, the sentence was carried out. Then cauterizing the wound with a red-hot poker to heat. In short, yourself acknowledge that it is a nice quality work. Above all, you breathe ease. Who knows? If his nose had been longer, the whole face of the earth would have been changed ...;Votre prisonnier a été emmené cette nuit dans la salle des tortures. Le Bourreau, d'un geste vif et adroit, saisit le nez puis découpe lentement les chairs. Vient ensuite la cautérisation de la plaie. Bref, en 5 minutes, voilà un beau travail de qualité...;;;;;;;;;;;;x
EVTOPTAStr.1;Let him breathe fresh air now.;Qu'il aille respirer l'air frais désormais.;;;;;;;;;;;;x
EVTTOOLTIPStr.2;We cut off the nose of [Root.GetTitledFirstName].;On a tranché le nez de [Root.GetTitledFirstName].;;;;;;;;;;;;x
EVTDESCStr.2;"Your jailers enter your cell Toothy smiling - and experience, you know that this is a bad sign:'' Good News! ""Said one of them cheerfully."" [From.GetTitle] frees its great kindness. You'll be able to stroll in the countryside breathe the fresh air. But before there was a formality to complete. We will cut your nose! """;"Vos geôliers entrent dans votre cellule en souriant à pleines dents - et par expérience, vous savez que c'est mauvais signe : ''Bonnes nouvelles !"" dit gaiement l'un d'eux. ""[From.GetTitle] vous libère dans sa grande bonté. Tu pourras te ballader dans la campagne respirer le bon air frais. Mais avant, il y a une formalité à remplir. On va trancher ton nez !""";;;;;;;;;;;;x
EVTOPTAStr.2;Nooo, pityyyyyyyyy!;N-ooon, pitiéeee !;;;;;;;;;;;;x
old_age;Old Age;Grand Âge;;;;;;;;;;;;x
EVTDESC1000109000;You realize one day that you do not feel as vibrant or capable as you used to be. After all, you are elderly now, having lived many decades. People only live so long, and sooner or later, you, too, will die and join your forefathers in the afterlife. ;Vous vous rendez compte un jour que vous ne vous sentez plus aussi dynamique et capable que vous l'étiez jadis dans votre prime jeunesse. Après tout, vous êtes une personne âgée maintenant, ayant vécu de nombreuses décennies. Les gens ne vivent si longtemps, et tôt ou tard, vous aussi, vous marchez doucement mais sûrement vers la pénombre où patientent tous vos ancêtres trépassés.;;;;;;;;;;;;x
EVTOPTA1000109000;Age is nothing but a number. ;Toutes les heures blessent, la dernière tue…;;;;;;;;;;;;x
EVTDESCjewmod.100;Some of our Jewish subjects have expressed a desire to serve at court.;Il existe dans la communauté juive de votre domaine quelques personnes qui ambitionnent de servir dans votre Cour;;;;;;;;;;;;x
EVTOPTAjewmod.100;We'll find jobs for them;Nous leur trouverons un emploi;;;;;;;;;;;;x
judaic;Judaic;Judaïque;;;;;;;;;;;;x
judaism;Jewish;Judaïsme;;;;;;;;;;;;x
judaism_group;Jewish;Judaïsme;;;;;;;;;;;;x
karaite;Karaite;karaïsme;;;;;;;;;;;;x
sephardic;Sephardic;Sépharade;;;;;;;;;;;;x
d_ethiopian_company;Ethiopian Company;Compagnie Éthiopienne;;;;;;;;;;;;x
d_harari_cavalery;Harari Cavalery;Cavalerie Harari;;;;;;;;;;;;x
d_ethiopian_band;Ethiopian Band;Bande Éthiopienne;;;;;;;;;;;;x
d_oromo_band;Oromo Band;Bande Oromo;;;;;;;;;;;;x
d_mandinka_band;Mandika Band;Bande Mandingue;;;;;;;;;;;;x
d_mandinka_company;Mandika Company;Compagnie Mandingue;;;;;;;;;;;;x
d_mandinka_cavalery;Oromo Cavalery;Cavalerie Mandingue;;;;;;;;;;;;x
d_khassonke_band;Khassonke Band;Bande Khassonké;;;;;;;;;;;;x
d_khassonke_company;Khassonke Company;Compagnie Khassonké;;;;;;;;;;;;x
d_bambara_band;Bambara Band;Bande Bambara;;;;;;;;;;;;x
AI_EVENT;AI_EVENT;Lointaines Rumeurs;;;;;;;;;;;;x
EVTNAME1059008;Pillaging;Pillage;;;;;;;;;;;;x
EVTDESC1059008;Sieges could drag on for months and even years, and the besieging troops had to forage the countryside for supplies. These foraging parties could sometimes devolve into looting and outright vandalism. This was the case in [Root.Location.GetName], where our troops have have pillaged and torched one of the province's buildings.;Les sièges peuvent traîner pendant des mois, voire des années, et les assiégeants n'ont pour se nourrir que la campagne environnante. Les soldats en quête de nourriture peuvent parfois se transformer en raid de razzia sauvages et sanguinaires. Ce fut le cas à [Root.Location.GetName], où nos troupes ont pillé et incendié ont l'un des bâtiments de la province.;;;;;;;;;;;;x
EVTOPTA1059008;It can't be helped;On ne peut rien y faire;;;;;;;;;;;;x
EVTTOOLTIP1000025003;A building goes up in flames;Un bâtiment est incendié;;;;;;;;;;;;x
EVTTOOLTIP1059009;A building goes up in flames;Un bâtiment est incendié;;;;;;;;;;;;x
EVTDESC1059009;The besieging troops have destroyed a building in [From.Location.GetName]!;Les assiégeants ont détruit un édifice en [From.Location.GetName]!;;;;;;;;;;;;x
EVTOPTA1059009;Bastards!;Les Bâtards!;;;;;;;;;;;;x
EVTDESC190087;A storm has struck my fleet! Scores of soldiers and at least one of my commanders have been drowned by the raging waters.;Une tempête a ravagé ma flotte! Des dizaines de soldats et au moins un de mes commandants ont été noyés par les eaux en furie.;;;;;;;;;;;;x
EVTOPTA190087;Disaster!;Catastrophe;;;;;;;;;;;;x
EVTDESCfamily_relations.0;My family is important for me;Ma famille est importante pour moi;;;;;;;;;;;;x
EVTOPTAfamily_relations.0;I should love my family;Je dois aimer ma famille;;;;;;;;;;;;x
EVTDESCfamily_relations.1;There has been a marriage in my court.;Il y a eut un mariage dans ma Cour;;;;;;;;;;;;x
EVTOPTAfamily_relations.1;I wish them well.;Je leur souhaite bonne chance;;;;;;;;;;;;x
EVTDESCfamily_relations.2;I get married and my family grows;Je me suis marié et la famille s'agrandit;;;;;;;;;;;;x
EVTOPTAfamily_relations.2;I love my wife. My in-laws, not so much.;J'aime ma femme, mais pas tellement ma belle-famille...;;;;;;;;;;;;x
EVTOPTBfamily_relations.2;I love my husband. My in-laws, not so much.;J'aime mon mari mais pas tellement ma belle-famille...;;;;;;;;;;;;x
EVTDESCfamily_relations.3;I get married and my family grows;Je me suis marié et la famille s'agrandit;;;;;;;;;;;;x
EVTOPTAfamily_relations.3;I love my wife. My in-laws, not so much.;J'aime ma femme, mais pas tellement ma belle-famille...;;;;;;;;;;;;x
EVTOPTBfamily_relations.3;I love my husband. My in-laws, not so much.;J'aime mon mari mais pas tellement ma belle-famille...;;;;;;;;;;;;x
opinion_father;My Father;Mon Père;;;;;;;;;;;;x
opinion_mother;My Mother;Ma Mère;;;;;;;;;;;;x
opinion_sibling;My Sibling;Mon Frère;;;;;;;;;;;;x
opinion_brother;My Brother;Mon Frère;;;;;;;;;;;;x
opinion_sister;My Sister;Ma Sœur;;;;;;;;;;;;x
opinion_grandfather;My Grandfather;Mon Grand-Père;;;;;;;;;;;;x
opinion_grandmother;My Grandmother;Ma Grand-Mère;;;;;;;;;;;;x
opinion_child;My Child;Mon Enfant;;;;;;;;;;;;x
opinion_grandchild;My Grandchild;Mon Petit-Enfant;;;;;;;;;;;;x
opinion_uncle;My Uncle;Mon Oncle;;;;;;;;;;;;x
opinion_aunt;My Aunt;Ma Tante;;;;;;;;;;;;x
opinion_nephew;My Nephew;Mon Neveu;;;;;;;;;;;;x
opinion_niece;My Niece;Ma Nièce;;;;;;;;;;;;x
opinion_cousin;My Cousin;Mon Cousin;;;;;;;;;;;;x
opinion_husband;My Husband;Mon Époux;;;;;;;;;;;;x
opinion_wife;My Wife;Ma Femme;;;;;;;;;;;;x
opinion_father_in_law;My Father-in-Law;Mon Beau-Père;;;;;;;;;;;;x
opinion_mother_in_law;My Mother-in-Law;Ma Belle-Mère;;;;;;;;;;;;x
opinion_son_in_law;My Son-in-Law;Mon Beau-fils;;;;;;;;;;;;x
opinion_daughter_in_law;My Daughter-in-Law;Ma Belle-fille;;;;;;;;;;;;x
opinion_brother_in_law;My Brother-in-Law;Mon Beau-Frère;;;;;;;;;;;;x
opinion_sister_in_law;My Sister-in-Law;Ma Belle-Sœur;;;;;;;;;;;;x
