#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
other_claim_desc;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\n\n§Y$CLAIMANT$§! will become your vassal if one of the following conditions are true:\n- §Y$PRESSER$§! and §Y$CLAIMANT$§! are of the same dynasty.\n- §Y$TITLE$§! is a lower rank than §Y$CLAIMANT$§!'s primary title.\n- §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!.;Ce casus belli peut être utilisé par le(la) §Y$PRESSER$§! pour appuyer la revendication de §Y$CLAIMANT$§! vis-à-vis du(de la) §Y$TITLE$§!\n\n§Y$CLAIMANT$§! deviendra votre vassal si une des conditions suivantes est réunie:\n- §Y$PRESSER$§! et §Y$CLAIMANT$§! font partie de la même dynastie.\n- §Y$TITLE$§! est un rang plus bas que le titre principal de §Y$CLAIMANT$§!.\n- §Y$PRESSER$§! est le souverain de jure de §Y$TITLE$§!.;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\n\n§Y$CLAIMANT$§! will become your vassal if one of the following conditions are true:\n- §Y$PRESSER$§! and §Y$CLAIMANT$§! are of the same dynasty.\n- §Y$TITLE$§! is a lower rank than §Y$CLAIMANT$§!'s primary title.\n- §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!.;;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\n\n§Y$CLAIMANT$§! will become your vassal if one of the following conditions are true:\n- §Y$PRESSER$§! and §Y$CLAIMANT$§! are of the same dynasty.\n- §Y$TITLE$§! is a lower rank than §Y$CLAIMANT$§!'s primary title.\n- §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!.;;;;;;;;;x
tribal_invasion_desc;Tribes do not bother with just causes - might makes right!;Les tribus se moquent des causes justes, elles règnent par la force !;Stämme kümmern gerechte Sachen nicht - es gilt das Recht des Stärkeren!;;Las tribus no pierden el tiempo con causas justas. ¡Es el poderoso quien determina lo que es justo!;;;;;;;;;x
WAR_ITALIAN_RECONQUEST;[Actor.GetTitledFirstName]'s Reconquest of $OTHER_TITLE$;Reconquête de $OTHER_TITLE$ par [Actor.GetTitledFirstName];[Actor.GetTitledFirstName]s Wiedereroberung von $OTHER_TITLE$;;Reconquista de [Actor.GetTitledFirstName] de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COASTAL_CITY_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerre pour le Bourg de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerre pour la Côte de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Krieg um die Stadt von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ se enfrentan por la ciudad de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_CRUSADE;$ORDER$$FIRST_ADJ$ $HOLY_WAR$ for $OTHER_TITLE$;$ORDER$$HOLY_WAR$ $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er $HOLY_WAR$ um $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ $HOLY_WAR$ por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DEPOSE_ANTIPOPE;$ORDER$$FIRST$ War for Religious Unity;$ORDER$ Guerre $FIRST$ pour l'Unité Religieuse;$ORDER$$FIRST$ Krieg für religiöse Einheit;;$ORDER$ Guerra $FIRST$ por la Unidad Religiosa;;;;;;;;;
WAR_NAME_FACTION_DEPOSE;$ORDER$Revolt of the $FIRST_ADJ$ League;$ORDER$Révolte de la Ligue $FIRST_ADJ$;$ORDER$Aufstand der $FIRST_ADJ$ Liga;;$ORDER$Revolt of the $FIRST_ADJ$ League;;;;;;;;;x
WAR_NAME_FREE_FAMILY;$ORDER$$FIRST_ADJ$ Liberation War of [Actor.GetOnlyDynastyName] Family Members;$ORDER$$FIRST_ADJ$ Guerre de Libération de [Actor.GetOnlyDynastyName] Membres de Famille;$ORDER$$FIRST_ADJ$ Liberation War of [Actor.GetOnlyDynastyName] Family Members;;$ORDER$$FIRST_ADJ$ Liberation War of [Actor.GetOnlyDynastyName] Family Members;;;;;;;;;
WAR_NAME_HELLENIC_LIBERATION;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Libération de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;;;;;;;;;
WAR_NAME_INDEPENDENCE;$ORDER$War of Independence from $DEFENDER$;$ORDER$ Guerre d'Indépendance de $DEFENDER$;$ORDER$Unabhängigkeitskrieg von $DEFENDER$;;$ORDER$War of Independence from $DEFENDER$;;;;;;;;;x
WAR_NAME_OTHER_PRETENDER;$ORDER$$FIRST_ADJ$ War to Install $CLAIMANT$ in $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Guerre pour introniser $CLAIMANT$ en tant que $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Krieg um $CLAIMANT$ in $OTHER_TITLE$ einzusetzen.;;$ORDER$$FIRST_ADJ$ War to Install $CLAIMANT$ in $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_PRETENDER;$ORDER$$FIRST_ADJ$ War for the Throne of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Guerre pour le Trône de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Krieg für den Thron von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ War for the Throne of $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_RESTOREBYZANTIUM;$ORDER$$FIRST_ADJ$ War to Restore the Byzantine Empire;$ORDER$$FIRST_ADJ$ Guerre de Restauration de l'Empire Byzantin;$ORDER$$FIRST_ADJ$ War to Restore the Byzantine Empire;;$ORDER$$FIRST_ADJ$ War to Restore the Byzantine Empire;;;;;;;;;x
WAR_NAME_RESTORE_PAPACY;$ORDER$$FIRST_ADJ$ War to Restore the Papacy;$ORDER$$FIRST_ADJ$ Guerre pour restaurer la Papauté;$ORDER$$FIRST_ADJ$er Krieg zur Wiederherstellung des Papsttums;;$ORDER$$FIRST_ADJ$ War to Restore the Papacy;;;;;;;;;x
WAR_NAME_TRIBAL_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$ Invasion $FIRST_ADJ$ du(de la) $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;$ORDER$Invasión $FIRST_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_TRUCE_NOTIFIER;$ORDER$$FIRST$ War of Not Paying Attention;$ORDER$$FIRST$ Guerre d'inattention;$ORDER$$FIRST$ War of Not Paying Attention;;$ORDER$$FIRST$ War of Not Paying Attention;;;;;;;;;x
WAR_NAME_VASSALIZE;$ORDER$$FIRST_ADJ$ War to Subjugate $SECOND$;$ORDER$Guerre $FIRST_ADJ$ pour assujettir $SECOND$;$ORDER$$FIRST_ADJ$ Krieg, um Zu unterjochen $SECOND$;;$ORDER$$FIRST_ADJ$ War to Subjugate $SECOND$;;;;;;;;;x
