#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bring_children_to_court_desc;Some of your children are subjects of a foreign court. Bring them home to [Root.PrimaryTitle.GetName].;Certains de vos enfants sont sujets d'une cour étrangère. Ramener-les chez eux à [Root.PrimaryTitle.GetName].;Einige eurer Kinder sind Verdächtige an einem ausländischen Gericht. Bringt sie nach hause an eueren Hof [Root.PrimaryTitle.GetName].;;Some of your children are subjects of a foreign court. Bring them home to [Root.PrimaryTitle.GetName].;;;;;;;;;x;;
bring_out_of_hiding;Call Family out of Hiding;Call Family out of Hiding;Call Family out of Hiding;;Call Family out of Hiding;;;;;;;;;;;
bring_out_of_hiding_desc;Removes Hidden, Stalwart, or Left At Siege from any of your dynasty or spouses at your location.;Removes Hidden, Stalwart, or Left At Siege from any of your dynasty or spouses at your location.;Removes Hidden, Stalwart, or Left At Siege from any of your dynasty or spouses at your location.;;Removes Hidden, Stalwart, or Left At Siege from any of your dynasty or spouses at your location.;;;;;;;;;;;
capture_desc;§Y$CLAIMANT$§! can attempt to capture all malicious plotters in the realm of §Y$TARGET$§!.;§Y$CLAIMANT$§! Peut tenter de capturer tous les comploteurs malveillants dans le Royaume de §Y$TARGET$§!.;§Y$CLAIMANT$§! kann versuchen, alle böswilligen Verschwörer im Reich von §Y$TARGET$§! Festzunehmen.;;§Y$CLAIMANT$§! can attempt to capture all malicious plotters in the realm of §Y$TARGET$§!.;;;;;;;;;x;;
check_notable_persons;Check Friends and Rivals;Check Friends and Rivals;Check Friends and Rivals;;Check Friends and Rivals;;;;;;;;;x;;
check_notable_persons_desc;Show your friends and rivals, if you have them.;Show your friends and rivals, if you have them.;Show your friends and rivals, if you have them.;;Show your friends and rivals, if you have them.;;;;;;;;;x;;
check_people_tooltip;Friends, Rivals, and Lover.;Friends, Rivals, and Lover.;Friends, Rivals, and Lover.;;Friends, Rivals, and Lover.;;;;;;;;;x;;
convert_to_capital_culture;Embrace [Root.Capital.Culture.GetName] Culture;Embrasser la culture de [Root.Capital.Culture.GetName];[Root.Capital.Culture.GetName]e Kultur annehmen;;Embrace [Root.Capital.Culture.GetName] Culture;;;;;;;;;x;;
convert_to_capital_culture_desc;I am impressed with the language and customs of [Root.Capital.GetName]. I wish I were like that...;Je suis impressioné par la langue et les coutumes de [Root.Capital.GetName]. J'aimerais être comme eux...;Ich bin zutiefst beeindruckt von der Sprache und den Traditionen von [Root.Capital.GetName]. Ich wünschte, ich wäre wie sie...;;I am impressed with the language and customs of [Root.Capital.GetName]. I wish I were like that...;;;;;;;;;x;;
convert_to_capital_religion;Convert to [Root.Capital.Religion.GetName];Se convertir à [Root.Capital.Religion.GetName];Zum [Root.Capital.Religion.GetName]en Glauben Konvertieren;;Convert to [Root.Capital.Religion.GetName];;;;;;;;;x;;
convert_to_capital_religion_desc;I am sure the people of [Root.Capital.GetName] would be pleased if we had the same faith...;Je suis sûr que le peuple de [Root.Capital.GetName] serait heureux si nous partagions la même foi...;Ich bin sicher, die Menschen von [Root.Capital.GetName] wären erfreut, wenn wir den selben Glauben teilten...;;I am sure the people of [Root.Capital.GetName] would be pleased if we had the same faith...;;;;;;;;;x;;
convert_to_celtic_pagan;Convert to Celtic;Convert to Celtic;Convert to Celtic;;Convert to Celtic;;;;;;;;;x;;
convert_to_celtic_pagan_desc;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;;Convert to the faith of my ancestral forefathers!;;;;;;;;;x;;
convert_to_druidic;Convert to Brythonic;Convert to Brythonic;Convert to Brythonic;;Convert to Brythonic;;;;;;;;;x;;
convert_to_druidic_desc;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;;Convert to the faith of my ancestral forefathers!;;;;;;;;;x;;
convert_to_hellenic_pagan;Convert to Hellenic;Convert to Hellenic;Convert to Hellenic;;Convert to Hellenic;;;;;;;;;x;;
convert_to_hellenic_pagan_desc;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;;Convert to the faith of my ancestral forefathers!;;;;;;;;;x;;
convert_to_icelandic;Embrace Icelandic Culture;Embrace Icelandic Culture;Embrace Icelandic Culture;;Embrace Icelandic Culture;;;;;;;;;x;;
convert_to_liege_culture;Embrace [Root.Liege.Culture.GetName] Culture;Embrasser la culture de [Root.Liege.Culture.GetName];[Root.Liege.Culture.GetName]e Kultur annehmen;;Embrace [Root.Liege.Culture.GetName] Culture;;;;;;;;;x;;
convert_to_liege_culture_desc;I am impressed with the language and customs of [Root.Liege.GetTitledFirstName]. I wish I were like that...;Je suis impressioné par la langue et les coutumes de [Root.Liege.GetTitledFirstName]. J'aimerais être comme ça...;Ich bin zutiefst beeindruckt von der Sprache und den Traditionen von [Root.Liege.GetTitledFirstName]. Ich wünschte, ich wäre wie er...;;I am impressed with the language and customs of [Root.Liege.GetTitledFirstName]. I wish I were like that...;;;;;;;;;x;;
convert_to_liege_religion;Convert to [Root.Liege.Religion.GetName];Se convertir à [Root.Liege.Religion.GetName];Zum [Root.Liege.Religion.GetName]en Glauben Konvertieren;;Convert to [Root.Liege.Religion.GetName];;;;;;;;;x;;
convert_to_liege_religion_desc;I am sure [Root.Liege.GetTitledFirstName] would be pleased if we had the same faith...;Je suis sûr que [Root.Liege.GetTitledFirstName] serait content si nous partagions la même foi...;Ich bin sicher, [Root.Liege.GetTitledFirstName] wäre erfreut, wenn wir den selben Glauben teilten...;;I am sure [Root.Liege.GetTitledFirstName] would be pleased if we had the same faith...;;;;;;;;;x;;
convert_to_roman;Embrace Roman Culture;Embrasser la culture de Roman;Romane Kultur annehmen;;Embrace Roman Culture;;;;;;;;;x;;
convert_to_roman_desc;We have reunited the Roman Empire. It is time to become Roman once more!;We have reunited the Roman Empire. It is time to become Roman once more!;;We have reunited the Roman Empire. It is time to become Roman once more!;;;;;;;;;x;;;
convert_to_zoroastrianism;Convert to Zoroastrianism;Convert to Zoroastrianism;Convert to Zoroastrianism;;Convert to Zoroastrianism;;;;;;;;;x;;
convert_to_zoroastrianism_desc;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;Convert to the faith of my ancestral forefathers!;;Convert to the faith of my ancestral forefathers!;;;;;;;;;x;;
cornish;Cornish;Cornouaillais;Kornisch;;Cornish;;;;;;;x;;;;
coronation;Request Papal Coronation;Demander un Couronnement au Pape;Päpstliche Krönung erbitten;;Request Papal Coronation;;;;;;;;x;;;
coronation_desc;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the ruler of the Holy Roman Empire, which further legitimises your rule.;Promulguer cette décision entrainera l'envoi d'une requête au Pape, lui demandant d'organiser une cérémonie de couronnement à Rome en l'honneur de [Root.GetTitledFirstName]. Cela autorisera [Root.GetTitledFirstName] à être couronné et bénit par le Pape et d'accroître son autorité comme souverain du Saint Empire Romain, ce qui légitimera également votre règne.;Erlass dieser Entscheidung wird einen Antrag an den Papst auf eine Krönungszeremonie richten, die in Rom zu Ehren von [Root.GetTitledFirstName] stattfinden soll. Dies ermöglicht [Root.GetTitledFirstName] durch den Papst gekrönt und gesegnet zu werden und erhöht die Autorität als Herrscher des Heiligen Römischen Reiches.;;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the ruler of the Holy Roman Empire, which further legitimises your rule.;;;;;;;;x;;;
coronation_rejected;Rejected Coronation;A rejeté le Couronnement;Krönung abgelehnt;;Rejected Coronation;;;;;;;;x;;;
create_e_shiite;Become Caliph;Devenir Calife;Werdet Kalif;;Become Caliph;;;;;;;x;;;;
create_e_shiite_desc;The Shia Caliphate has fallen, but there is yet hope for the faith. With enough influence and piety we could declare ourselves the heir to the Caliphate and create a new Shia Caliphate.;Le Califat Chiite est tombé, mais il y a désormais un espoir pour la foi. Avec assez d'influence et de piété nous pourrions nous proclamer héritier du Califat et créer un nouveau Califat Chiite.;Das Schiitisches Kalifat ist gefallen, aber es gibt noch Hoffnung für den Glauben. Mit genug Einfluss und Gläubigkeit konnten wir uns als Erbe des Kalifat erklären und ein neues schiitisches Kalifat schaffen.;;The Shia Caliphate has fallen, but there is yet hope for the faith. With enough influence and piety we could declare ourselves the heir to the Caliphate and create a new Shia Caliphate.;;;;;;;x;;;;
create_e_sunni;Become Caliph;Devenir Calife;Werdet Kalif;;Become Caliph;;;;;;;x;;;;
create_e_sunni_desc;The Sunni Caliphate has fallen, but there is yet hope for the faith. With enough influence and piety we could declare ourselves the heir to the Caliphate and create a new Sunni Caliphate.;Le Califat Sunnite est tombé, mais il y a désormais un espoir pour la foi. Avec assez d'influence et de piété nous pourrions nous proclamer héritier du Califat et créer un nouveau Califat Sunnite.;Das Sunnitiche Kalifat ist gefallen, aber es gibt noch Hoffnung für den Glauben. Mit genug Einfluss und Gläubigkeit konnten wir uns als Erbe des Kalifat erklären und ein neues Sunnitiche Kalifat schaffen.;;The Sunni Caliphate has fallen, but there is yet hope for the faith. With enough influence and piety we could declare ourselves the heir to the Caliphate and create a new Sunni Caliphate.;;;;;;;x;;;;
employ_chancellor;Invite Chancellor to Court;Inviter un Chancelier à la Cour;Kanzler an den Hof laden;;Invite Chancellor to Court;;;;;;;x;;;;
employ_chancellor_desc;Invite a promising nobleman to court, to aid with diplomatic affairs.;Inviter un noble prometteur à la Cour, pour vous assister en matière diplomatique.;Laden Sie einen viel versprechenden Adligen in den Rat ein, um bei diplomatischen Angelegenheiten zu helfen.;;Invite a promising nobleman to court, to aid with diplomatic affairs.;;;;;;;x;;;;
employ_court_jester;Hire a Court Jester;Hire a Court Jester;Hire a Court Jester;;Hire a Court Jester;;;;;;;;;x;;
employ_court_jester_desc;Hire a promising fool to keep my court entertained.;Hire a promising fool to keep my court entertained.;Hire a promising fool to keep my court entertained.;;Hire a promising fool to keep my court entertained.;;;;;;;;;x;;
employ_marshal;Invite Marshal to Court;Inviter un Maréchal à la Cour.;Marschall an den Hof laden;;Invite Marshal to Court;;;;;;;x;;;;
employ_marshal_desc;Invite a promising nobleman to court, to help train your armies.;Inviter un noble prometteur à la Cour, pour vous aider à entrainer vos hommes d'armes.;Laden Sie einen viel versprechenden Adligen in den Rat ein, um dabei zu helfen unsere Armee auszubilden.;;Invite a promising nobleman to court, to help train your armies.;;;;;;;x;;;;
employ_spymaster;Invite Spymaster to Court;Inviter un maître espion à la Cour;Hofspitzel an den Hof laden;;Invite Spymaster to Court;;;;;;;x;;;;
employ_spymaster_desc;Invite a promising nobleman to court, to help run your spy network.;Inviter un noble prometteur à la Cour, pour vous aider à diriger votre réseau d'espions.;Laden Sie einen Hofspitzel in den Rat ein der uns hilft ein Spitzelnetzwerk aufzubauen.;;Invite a promising nobleman to court, to help run your spy network.;;;;;;;x;;;;
employ_steward;Invite Steward to Court;Inviter un intendant à la Cour;Kämmerer an den Hof laden;;Invite Steward to Court;;;;;;;x;;;;
employ_steward_desc;Invite a promising nobleman to court, to aid with matters of administration.;Inviter un noble prometteur à la Cour, pour vous assister en matière d'administration.;Laden Sie einen viel versprechenden Adligen in den Rat ein, um in Regierungsangelegenheiten zu helfen.;;Invite a promising nobleman to court, to aid with matters of administration.;;;;;;;x;;;;
expelled_ansar;Expelled the Ansar;Confrérie des Bektachis expulsée;Den Orden der Bektaschi vertrieben;;Orden Ansar expulsada;;;;;;;;;x;;
expel_the_ansar;Expel the Ansar;Expulser la Confrérie des Bektachis;Vertreibt den Orden der Bektaschi;;Expulsar a la Orden Ansar;;;;;;;;;x;;
expel_the_ansar_desc;I can drive the Ansar from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser la Confrérie des Bektachis de mon territoire et prendre possession de leurs châteaux. Ce serait par contre un acte très impie...;Ich kann den Orden der Bektaschi aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat...;;Puedo echar a la Orden Ansar de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;;;x;;
feast_0;Plan a Feast;Organiser un banquet;Großes Fest planen;;Plan a Feast;;;;;;;;;x;;
feast_0_desc;In winter we shall hold the biggest feast ever seen in the realm!;En hiver nous allons organiser le plus grand banquet du royaume !;Im Winter sollten wir das größte Fest unseres Reiches veranstalten!;;In winter we shall hold the biggest feast ever seen in the realm!;;;;;;;;;x;;
feast_1;Plan a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x;;
feast_1_desc;In winter we shall hold the biggest feast ever seen in the Kingdom!;Organisez le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x;;
feast_2;Plan a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x;;
feast_2_desc;In winter we shall hold the biggest feast ever seen in the Kingdom!;Organisez le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x;;
fianna_organized;The Fianna is formed.;The Fianna is formed.;The Fianna is formed.;;The Fianna is formed.;;;;;;;;;x;;
gwydion_organized;The Gwydion is formed.;The Gwydion is formed.;The Gwydion is formed.;;The Gwydion is formed.;;;;;;;;;x;;
give_to_charity;Give to Charity;Donner par charité;Geben Sie Wohltätigkeit;;Give to Charity;;;;;;;;;x;;
give_to_charity_desc;Give a voluntary donation to [Root.Religion.GetName] charities.;Faites un don volontaire aux oeuvres de charité de [Root.Religion.GetName].;Give a voluntary donation to [Root.Religion.GetName] charities.;;Give a voluntary donation to [Root.Religion.GetName] charities.;;;;;;;;;x;;
gone_pagan;Adopt Native Religion;Adopt Native Religion;Adopt Native Religion;;Adopt Native Religion;;;;;;;;;x;;
gone_pagan_ctt;One of the following must be true:\n- The §YMoral Authority§! of your religion must be below §R20§!\n- There must be a pagan province in your demesne that is relevant to your culture, in addition to the §YMoral Authority§! of your religion being below §R30§!\n- You must be a lunatic and the §YMoral Authority§! of you religion must be below §R50§!;;;;;;;;;;;;;;;
gone_pagan_desc;Adopt your culture's native religion.;Adopt your culture's native religion.;Adopt your culture's native religion.;;Adopt your culture's native religion.;;;;;;;;;x;;
go_on_hajj_1;Go on Hajj to Mecca;Partir en pèlerinage à La Mecque;Geht auf Hadsch nach Mekka;;Ir al Hajj a La Meca;;;;;;;;;x;;
go_on_hajj_1_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life.;Réaliser un pèlerinage à La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Auf Wallfahrt nach Mekka zu gehen, ist eine der Säulen des Islam und es ist etwas,was von jedem nicht beeinträchtigten Moslem einmal in seinem Leben erwartet wird.;;Ir de peregrinación hacia La Meca es uno de los pilares del islam, y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;;;;;;;;;x;;
go_on_hajj_2;Go on Hajj to Mecca;Partir en pèlerinage à La Mecque;Geht auf Hadsch nach Mekka;;Ir al Hajj a La Meca;;;;;;;;;x;;
go_on_hajj_2_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life.;Réaliser un pèlerinage à La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Auf Wallfahrt nach Mekka zu gehen, ist eine der Säulen des Islam und es ist etwas,was von jedem nicht beeinträchtigten Moslem einmal in seinem Leben erwartet wird.;;Ir de peregrinación hacia La Meca es uno de los pilares del islam, y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;;;;;;;;;x;;
grant_estate;Grant Estates;Octroyer des domaines;Anwesen Gewähren;;Grant Estates;;;;;;;;;x;;
grant_estate_desc;Grant landed estates to this character. This will give them a monthly revenue and make them more loyal to you.;Octroyer des domaines terriens aux personnages. Cela leur garantit des revenus mensuels et les rend plus loyaux envers vous.;Gewähre Anwesen an dieser Person. Dies wird ihnen monatliche Einkünfte geben sowohol als auch ihnen euch treuer machen;;Grant landed estates to this character. This will give them a monthly revenue and make them more loyal to you.;;;;;;;;;x;;
grant_independence;Grant Independence;Octroyer l'indépendance.;Unabhängigkeit gewähren;;Grant Independence;;;;;;;;;x;;
grant_independence_desc;Break our vassal contract with this character. This will cost us some prestige and greatly damage our mutual relations.;Briser le serment vassalique avec cette personne. Cela vous coûtera du prestige et déteriorera grandement vos relations mutuelles.;Breche unseren Vasall-Vertrag mit diesem Charakter. Das wird uns etwas Prestige kosten und außerordentlich unsere gegenseitigen Beziehungen beschädigen.;;Break our vassal contract with this character. This will cost us some prestige and greatly damage our mutual relations.;;;;;;;;;x;;
hold_an_aonach_tailteann;Hold Aonach Tailteann;Hold Aonach Tailteann;Hold Aonach Tailteann;;Hold Aonach Tailteann;;;;;;;;;x;;
hold_an_aonach_tailteann_desc;The games were founded, by Lugh Lámhfhada, the Ollamh Érenn, as a mourning ceremony for the death of his foster-mother Tailtiu, the event is held during the last fortnight of July and culminates with the celebration of Lughnasadh.;The games were founded, by Lugh Lámhfhada, the Ollamh Érenn, as a mourning ceremony for the death of his foster-mother Tailtiu, the event is held during the last fortnight of July and culminates with the celebration of Lughnasadh.;The games were founded, by Lugh Lámhfhada, the Ollamh Érenn, as a mourning ceremony for the death of his foster-mother Tailtiu, the event is held during the last fortnight of July and culminates with the celebration of Lughnasadh.;;The games were founded, by Lugh Lámhfhada, the Ollamh Érenn, as a mourning ceremony for the death of his foster-mother Tailtiu, the event is held during the last fortnight of July and culminates with the celebration of Lughnasadh.;;;;;;;;;x;;
hold_divination;Hold a divination!;Tenir une divination;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x;;
hold_divination_desc;Hold a divination together with your vassals and offer sacrifice to the gods to divine our future. This can only be done every fifth year.;Tenez un grand blót accompagné de vos vassaux et offrez des sacrifices aux dieux en remerciement pour les bonnes récoltes et pour le succès sur le champ de bataille. Cela ne se fait qu'une fois à tous les neuf ans.;Haltet mit Euren Vasallen ein Blót ab und dankt den Göttern für gute Ernten und Erfolge auf dem Schlachtfeld. Dies kann nur jedes neunte Jahr durchgeführt werden.;;Celebrar una gran mancha junto con tus vasallos y ofrecer sacrificios a los dioses por buenas cosechas y el éxito en el campo de batalla. Esto sólo puede hacerse cada nueve años.;;;;;;;;;x;;
hold_grand_banquet;Hold a Grand Banquet;Hold a Grand Banquet;Hold a Grand Banquet;;Hold a Grand Banquet;;;;;;;;;;;
hold_grand_banquet_desc;Begin planning to hold a grand banquet, inviting all vassals and noteable neighbours to your event.;;;;;;;;;;;;;;;
hold_grand_hunt_0;Plan a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x;;
hold_grand_hunt_0_desc;In autumn we shall go on a Grand Hunt with the best hunters in our domains!;Participez à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x;;
hold_grand_hunt_1;Plan a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x;;
hold_grand_hunt_1_desc;In autumn we shall go on a Grand Hunt with the best hunters in our domains!;Participez à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x;;
hold_grand_hunt_2;Plan a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x;;
hold_grand_hunt_2_desc;In autumn we shall go on a Grand Hunt with the best hunters in our domains!;Participez à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x;;
honor_dead_tailteann;You wrap the votive offering in cloth that belonged to the deceased.Vous envelopez la figurine à l'intérieur d'un tissu appartenant au défunt;;;;;;x;;;;;
kingdom_of_luxembourg;Kingdom of Luxembourg;Royaume de Luxembourg;Königreich von Luxembourg;;Reino de Luxembourg;;;;;;;;;x;;
kingdom_of_luxembourg_desc;This decision will officially recognize us as an independent kingdom.;This decision will officially recognize us as an independent kingdom.;Diese Entscheidung wird uns als ein unabhängiges Reich offiziell anerkennen.;;This decision will officially recognize us as an independent kingdom.;;;;;;;;;x;;
kingdom_of_tuscany;Kingdom of Tuscany;Royaume de Toscane;Königreich von Österreich;;Reino de Toscana;;;;;;;;;x;;
kingdom_of_tuscany_desc;This decision will officially recognize us as an independent kingdom.;This decision will officially recognize us as an independent kingdom.;Diese Entscheidung wird uns als ein unabhängiges Reich offiziell anerkennen.;;This decision will officially recognize us as an independent kingdom.;;;;;;;;;x;;
latin_empire;Latin Empire;Empire Latin;Lateinisches Kaiserreich;;Imperio Latino;;;;;;;;;x;;
latin_empire_desc;This decision will give you the Latin Emperor title.;Cette décision vous donnera le titre latin.;Diese Entscheidung gibt Ihnen der Lateinisches Kaiserreichstitel.;;Esta decisión le dará el título Latino.;;;;;;;;;x;;
legitimized_me;Legitimized Me;M'a légitimé;Legitimiert Mich;;Legitimized Me;;;;;;;;;x;;
legitimize_bastard;Legitimize;Légitimer;Legitimieren;;Legitimar;;;;;;;;;x;;
legitimize_bastard_desc;Declare that this character is a legitimate child and not a bastard after all. Doing so will anger your immediate family.;Déclarer que ce personnage est un enfant légitime et non un bâtard. Faire cela fâchera vos proches;Erkläre, dass diese Person dein eheliches Kind ist und kein Bastard.;;Declare that this character is a legitimate child and not a bastard after all. Doing so will anger your immediate family.;;;;;;;;;x;;
nominate_vestalis_decision;Nominate [Root.GetTitledFirstName] as Vestalis;Nominate [Root.GetTitledFirstName] as Vestalis;Nominate [Root.GetTitledFirstName] as Vestalis;;Nominate [Root.GetTitledFirstName] as Vestalis;;;;;;;;;;;
nominate_vestalis_decision_desc;Nominate [Root.GetFirstName] for 30 years of dedicated service to the goddess Vesta.;Nominate [Root.GetFirstName] for 30 years of dedicated service to the goddess Vesta.;Nominate [Root.GetFirstName] for 30 years of dedicated service to the goddess Vesta.;;Nominate [Root.GetFirstName] for 30 years of dedicated service to the goddess Vesta.;;;;;;;;;;;
organise_braedralag;Found the Bræðralag;Found the Bræðralag;Found the Bræðralag;;Found the Bræðralag;;;;;;;;;;;
organise_braedralag-desc;Found the Bræðralag;Found the Bræðralag;Found the Bræðralag;;Found the Bræðralag;;;;;;;;;;;
organise_herculeans;Organize the Herculeans;Organize the Herculeans;Organize the Herculeans;;Organize the Herculeans;;;;;;;;;;;
organise_herculeans_desc;Organize the Herculeans;Organize the Herculeans;Organize the Herculeans;;Organize the Herculeans;;;;;;;;;;;
organise_sacred_band;Organize the Sacred Band;Organize the Sacred Band;Organize the Sacred Band;;Organize the Sacred Band;;;;;;;;;;;
organise_sacred_band_desc;Organize the Sacred Band;Organize the Sacred Band;Organize the Sacred Band;;Organize the Sacred Band;;;;;;;;;;;
organise_ulfhednar;Organize the Úlfheðnar;Organize the Úlfheðnar;Organize the Úlfheðnar;;Organize the Úlfheðnar;;;;;;;;;;;
organise_ulfhednar_desc;Organize the Úlfheðnar;Organize the Úlfheðnar;Organize the Úlfheðnar;;Organize the Úlfheðnar;;;;;;;;;;;
ORGANIZED_RELIGION;Organized Religion;Religion organisée;Organisierte Religion;;Religión Organizada;;;;;;;;;x;;
organize_anubis;Organize the Anubis Guard;Organize the Anubis Guard;Organize the Anubis Guard;;Organize the Anubis Guard;;;;;;;;;;;
organize_anubis_desc;Organize the Anubis Guard Holy Order;Organize the Anubis Guard Holy Order;Organize the Anubis Guard Holy Order;;Organize the Anubis Guard Holy Order;;;;;;;;;;;
organize_fianna;Organize the Fianna;Organize the Fianna;Organize the Fianna;;Organize the Fianna;;;;;;;;;x;;
organize_fianna_desc;Recruit landless warriors into an elite band of brothers that will defend their fellow Gaels.;Recruit landless warriors into an elite band of brothers that will defend their fellow Gaels.;Recruit landless warriors into an elite band of brothers that will defend their fellow Gaels.;;Recruit landless warriors into an elite band of brothers that will defend their fellow Gaels.;;;;;;;;;x;;
