#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182000.a;Accept;Accepter;Akzeptiert;;Accept;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182015.desc;Our scheme has gone according to plan.  We now have substantial evidence that [Root.PlotTarget.GetTitledFirstName] is the leader of a shadowy plot against his erstwhile allies.  Now we can widely disseminate it, discrediting him in his allies' eyes;Notre intrigue s'est déroulée comme prévu. Nous avons a présent des preuves substantielles que [Root.PlotTarget.GetTitledFirstName] est le meneur d'un sombre complot contre ses alliés de jadis. Nous pouvons maintenant les disséminer largement, le discréditant aulx yeulx de ses alliés;Our scheme has gone according to plan.  We now have substantial evidence that [Root.PlotTarget.GetTitledFirstName] is the leader of a shadowy plot against his erstwhile allies.  Now we can widely disseminate it, discrediting him in his allies' eyes;;Our scheme has gone according to plan.  We now have substantial evidence that [Root.PlotTarget.GetTitledFirstName] is the leader of a shadowy plot against his erstwhile allies.  Now we can widely disseminate it, discrediting him in his allies' eyes;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182016.a;This is a setback, but we can still try again.;C'est un revers, mais nous pouvons toujours essayer une nouvelle fois.;This is a setback, but we can still try again.;;This is a setback, but we can still try again.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182016.desc;We don't have enough material to complete the forgeries, and it seems [Root.PlotTarget.GetTitledFirstName] has changed the locks on [Root.PlotTarget.GetHerHis] office.  We're stymied for now, but at least we haven't been discovered.;Nous n'avons point assez de matériel pour achever les faulx, et il semble que [Root.PlotTarget.GetTitledFirstName] ait changé la serrure de son bureau. Nous sommes bloqués pour le moment, mais au moins nous n'avons point été démasqués.;We don't have enough material to complete the forgeries, and it seems [Root.PlotTarget.GetTitledFirstName] has changed the locks on [Root.PlotTarget.GetHerHis] office.  We're stymied for now, but at least we haven't been discovered.;;We don't have enough material to complete the forgeries, and it seems [Root.PlotTarget.GetTitledFirstName] has changed the locks on [Root.PlotTarget.GetHerHis] office.  We're stymied for now, but at least we haven't been discovered.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,
1000182017.a;This could be a problem...;Cela pourroit estre un problème...;This could be a problem...;;This could be a problem...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182017.desc;Our co-conspirators are fools and knaves!  The forgeries we were promised would be solid enough to  convince [Root.PlotTarget.GetTitledFirstName]'s allies of [Root.PlotTarget.GetHerHis] treachery haven't fooled anyone.  And what's worse, our complicity in the fabrication has been discovered.;Nos conjurés sont des benests et des marauds ! Les faulx qui nous avoient été promis devoient estre assez péremptoires pour convaincre les alliés de [Root.PlotTarget.GetTitledFirstName] de sa traistrise, mais ils n'ont dupé personne. Pis encor, notre complicité dans la fabrication des faulx a été découverte.;Our co-conspirators are fools and knaves!  The forgeries we were promised would be solid enough to  convince [Root.PlotTarget.GetTitledFirstName]'s allies of [Root.PlotTarget.GetHerHis] treachery haven't fooled anyone.  And what's worse, our complicity in the fabrication has been discovered.;;Our co-conspirators are fools and knaves!  The forgeries we were promised would be solid enough to  convince [Root.PlotTarget.GetTitledFirstName]'s allies of [Root.PlotTarget.GetHerHis] treachery haven't fooled anyone.  And what's worse, our complicity in the fabrication has been discovered.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182018.a;I always knew there was something fishy about [FromFrom.GetHerHim].;J'ai toujours su qu'il y avoit quelque chose de louche à son propos.;I always knew there was something fishy about [FromFrom.GetHerHim].;;I always knew there was something fishy about [FromFrom.GetHerHim].;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182018.desc;[This.GetTitledFirstName], I write to you to inform you that I've uncovered a sinister and treasonous conspiracy against you, led by your supposed ally, [FromFrom.GetTitledFirstName].  This dirty knave has tried to stab you in the back, but fortunately I discovered [FromFrom.GetHerHis] plot.  I implore you not to trust [FromFrom.GetHerHim].;[This.GetTitledFirstName], je vous écris pour vous faire part que j'ai mis au jour une sinistre et perfide conjuration contre vous, dirigée par votre supposé allié, [FromFrom.GetTitledFirstName]. Ce sale maraud a essayé de vous poignarder dans le dos, mais fort heureusement j'ai découvert son complot. Je vous impore de ne point lui faire confiance.;[This.GetTitledFirstName], I write to you to inform you that I've uncovered a sinister and treasonous conspiracy against you, led by your supposed ally, [FromFrom.GetTitledFirstName].  This dirty knave has tried to stab you in the back, but fortunately I discovered [FromFrom.GetHerHis] plot.  I implore you not to trust [FromFrom.GetHerHim].;;[This.GetTitledFirstName], I write to you to inform you that I've uncovered a sinister and treasonous conspiracy against you, led by your supposed ally, [FromFrom.GetTitledFirstName].  This dirty knave has tried to stab you in the back, but fortunately I discovered [FromFrom.GetHerHis] plot.  I implore you not to trust [FromFrom.GetHerHim].;;;;;;;;;x,,,,,,,,,,,,,,,,,
1000182019.a;I shall have to deal with this harshly;Je vais devoir employer la manière forte;I shall have to deal with this harshly;;I shall have to deal with this harshly;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182019.b;Why should I care about you?;Pourquoi devrois-je m'en faire à votre sujet ?;Why should I care about you?;;Why should I care about you?;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182019.desc;[This.GetTitledFirstName], I write to you to inform you that your vassal, [FromFrom.GetTitledFirstName] has conspired to frame me for betraying my allies.  This is a clear violation of the laws of the realm and I beseech you to take action.;[This.GetTitledFirstName], je vous écris pour vous faire part que votre vassal, [FromFrom.GetTitledFirstName] a comploté contre moi dans le but de faire croire que j'ai trahi mes alliés. C'est une violation claire des lois du royaume et je vous implore d'agir en conséquence.;[This.GetTitledFirstName], I write to you to inform you that your vassal, [FromFrom.GetTitledFirstName] has conspired to frame me for betraying my allies.  This is a clear violation of the laws of the realm and I beseech you to take action.;;[This.GetTitledFirstName], I write to you to inform you that your vassal, [FromFrom.GetTitledFirstName] has conspired to frame me for betraying my allies.  This is a clear violation of the laws of the realm and I beseech you to take action.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,
1000182020.a;I guess I can't trust my liege.;On diroit que je ne puis point faire confiance à mon suzerain.;I guess I can't trust my liege.;;I guess I can't trust my liege.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182020.desc;My fellow Lords and Ladies, I write to warn you about your liege, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence against me, trying to besmirch my reputation with my allies.  Be wary around this villain, my friends.;Mes chers Seigneurs et Dames, je vous écris pour vous mettre en garde au sujet de votre suzerain, [FromFrom.GetTitledFirstName]. L'infasme maraud a tenté de fabriquer de fausses preuves contre moi, dans l'espoir de ternir ma réputation auprès de mes alliés. Restez sur vos gardes autour de ce scélérat, mes amis.;My fellow Lords and Ladies, I write to warn you about your liege, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence against me, trying to besmirch my reputation with my allies.  Be wary around this villain, my friends.;;My fellow Lords and Ladies, I write to warn you about your liege, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence against me, trying to besmirch my reputation with my allies.  Be wary around this villain, my friends.;;;;;;;;;x,,,,,,,,,,,,,,,,,
1000182021.a;I guess I can't trust him;On diroit que je ne puis point lui faire confiance;I guess I can't trust him;;I guess I can't trust him;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182021.desc;My fellow Lords and Ladies, I write to warn you about your fellow vassal, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence against me, trying to besmirch my reputation with my allies.  Be wary around this villain, my friends.;Mes chers Seigneurs et Dames, je vous écris pour vous mettre en garde au sujet de votre homologue, [FromFrom.GetTitledFirstName]. L'infasme maraud a tenté de fabriquer de fausses preuves contre moi, dans l'espoir de ternir ma réputation auprès de mes alliés. Restez sur vos gardes autour de ce scélérat, mes amis.;My fellow Lords and Ladies, I write to warn you about your fellow vassal, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence against me, trying to besmirch my reputation with my allies.  Be wary around this villain, my friends.;;My fellow Lords and Ladies, I write to warn you about your fellow vassal, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence against me, trying to besmirch my reputation with my allies.  Be wary around this villain, my friends.;;;;;;;;;x,,,,,,,,,,,,,,,,,
1000182022.a;We must all band together against this scum;Nous devons tous nous unir contre cette racaille;We must all band together against this scum;;We must all band together against this scum;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182022.desc;[This.GetFirstName], know that I count you amongst my closest friends and allies.  [FromFrom.GetTitledFirstName], however, has tried to cleave our bonds of friendship and brotherhood asunder with his outlandish claims that I'm somehow involved in a plot against you.  I am thankful for your trust and faith in me and dismissing out of hand his absurd claims.;[This.GetFirstName], sachez que je vous compte parmi mes amis et mes alliés les plus proches. [FromFrom.GetTitledFirstName], cependant, a essayé d'entraver nos liens d'amitié et de fraternité avec ses pathétiques accusations que je suis impliqué dans un complot contre vous. Je vous suis reconnaissant pour votre foi en moi et pour avoir sur-le-champ balayé ces accusations absurdes d'un revers de main.;[This.GetFirstName], know that I count you amongst my closest friends and allies.  [FromFrom.GetTitledFirstName], however, has tried to cleave our bonds of friendship and brotherhood asunder with his outlandish claims that I'm somehow involved in a plot against you.  I am thankful for your trust and faith in me and dismissing out of hand his absurd claims.;;[This.GetFirstName], know that I count you amongst my closest friends and allies.  [FromFrom.GetTitledFirstName], however, has tried to cleave our bonds of friendship and brotherhood asunder with his outlandish claims that I'm somehow involved in a plot against you.  I am thankful for your trust and faith in me and dismissing out of hand his absurd claims.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
1000182023.a;I guess I can't trust my liege.;On diroit que je ne puis point faire confiance à mon suzerain.;I guess I can't trust my liege.;;I guess I can't trust my liege.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182023.desc;My fellow Lords and Ladies, I write to warn you about our liege, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence of my treachery against my allies in a clear attempt to besmirch my reputation.  Be wary around that villain, my friends.;Mes chers Seigneurs et Dames, je vous écris pour vous mettre en garde au sujet de notre suzerain, [FromFrom.GetTitledFirstName]. L'infasme maraud a tenté de fabriquer de fausses preuves contre moi, dans l'espoir de ternir ma réputation auprès de mes alliés. Restez sur vos gardes autour de ce scélérat, mes amis.;My fellow Lords and Ladies, I write to warn you about our liege, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence of my treachery against my allies in a clear attempt to besmirch my reputation..  Be wary around that villain, my friends.;;My fellow Lords and Ladies, I write to warn you about our liege, [FromFrom.GetTitledFirstName].  The foul knave has tried to fabricate evidence of my treachery against my allies in a clear attempt to besmirch my reputation.  Be wary around that villain, my friends.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
1000182024.a;I shall inform the other conspirators at once!;Je m'en vais de ce pas en informer sur-le-champ les aultres conjurés !;I shall inform the other conspirators at once!;;I shall inform the other conspirators at once!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182024.desc;Our soon-to-be-kidnappee will soon leave their well-guarded castle on a carriage ride with few guards along a windy forest road.  The perfect place for an ambush!;Notre cible va bientost quitter son castel bien gardé dans un charriot protégé par quelques gardes le long d'une route venteuse à travers la forest. Le lieu parfait pour une embuscade !;Our soon-to-be-kidnappee will soon leave their well-guarded castle on a carriage ride with few guards along a windy forest road.  The perfect place for an ambush!;;Our soon-to-be-kidnappee will soon leave their well-guarded castle on a carriage ride with few guards along a windy forest road.  The perfect place for an ambush!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182025.a;Let's make [Root.PlotTarget.GetTitledName]'s journey a bit more interesting...;Rendons le voyage de [Root.PlotTarget.GetTitledName] un peu plus intéressant...;Let's make [Root.PlotTarget.GetTitledName]'s journey a bit more interesting...;;Let's make [Root.PlotTarget.GetTitledName]'s journey a bit more interesting...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182025.b;That's too risky...;C'est trop risqué...;That's too risky...;;That's too risky...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182025.desc;[From.GetTitledFirstName] has informed me that our target, [Root.PlotTarget.GetTitledFirstName], will soon be taking a long carriage ride, and wants to spring an ambush.;[From.GetTitledFirstName] m'a informé que notre cible, [Root.PlotTarget.GetTitledFirstName], commencera bientost un long voyage en charriot, et veult déclencher une embuscade.;[From.GetTitledFirstName] has informed me that our target, [Root.PlotTarget.GetTitledFirstName], will soon be taking a long carriage ride, and wants to spring an ambush.;;[From.GetTitledFirstName] has informed me that our target, [Root.PlotTarget.GetTitledFirstName], will soon be taking a long carriage ride, and wants to spring an ambush.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
1000182026.a;You'll pay for this, [From.GetFirstName]!;Tu le paieras, [From.GetFirstName] !;You'll pay for this, [From.GetFirstName]!;;You'll pay for this, [From.GetFirstName]!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182026.desc;As your carriage travels the windy forest road, you're ambushed by highwaymen!  They slaughter your guards, chain you, and deliver you to [From.GetTitledFirstName];Alors que votre charriot voyage le long de la route venteuse à travers la forest, vous tombez dans une embuscade tendue par des bandits de grand chemin ! Ils massacrent vos gardes, vous enchaisnent, et vous remettent à [From.GetTitledFirstName];As your carriage travels the windy forest road, you're ambushed by highwaymen!  They slaughter your guards, chain you, and deliver you to [From.GetTitledFirstName];;As your carriage travels the windy forest road, you're ambushed by highwaymen!  They slaughter your guards, chain you, and deliver you to [From.GetTitledFirstName];;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
1000182027.a;And I, I took the road less traveled by.  And has made all the difference...;Et moi, j'ai pris la route moins fréquentée. Et cela a fait toute la différence...;And I, I took the road less traveled by.  And has made all the difference...;;And I, I took the road less traveled by.  And has made all the difference...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182027.desc;As your carriage travels through the forest, you doze off into a peaceful sleep.  You awaken to find that you've safely arrived at your destination, but it seems a gang of bandits and highwaymen have been active on another road in that forest this very day;Tandis que votre charriot voyage à travers la forest, vous vous assoupissez dans un paisible sommeil. Vous vous réveillez pour vous retrouver sain et sauf à votre destination, mais il semble qu'une bande de coupe-jarrets et de bandits de grand chemin se soient montrés sur une aultre route dans la forest ce mesme jour;As your carriage travels through the forest, you doze off into a peaceful sleep.  You awaken to find that you've safely arrived at your destination, but it seems a gang of bandits and highwaymen have been active on another road in that forest this very day;;As your carriage travels through the forest, you doze off into a peaceful sleep.  You awaken to find that you've safely arrived at your destination, but it seems a gang of bandits and highwaymen have been active on another road in that forest this very day;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,
1000182028.a;This shall not go unanswered.;Cela ne sera point sans conséquence.;This shall not go unanswered.;;This shall not go unanswered.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182028.desc;As your carriage travels the windy forest road, you're ambushed by highwaymen!  Fortunately, your guards are well-trained and quickly dispatch them.  As one lays dying, he admits he was sent by [From.GetTitledFirstName] to kidnap you.;Alors que votre charriot voyage le long de la route venteuse à travers la forest, vous tombez dans une embuscade tendue par des bandits de grand chemin ! Heureusement, vos gardes sont bien entraisnés et se débarrassent d'eulx. Alors que l'un d'entre eulx gist agonisant, il admet avoir été envoyé par [From.GetTitledFirstName] pour vous enlever.;As your carriage travels the windy forest road, you're ambushed by highwaymen!  Fortunately, your guards are well-trained and quickly dispatch them.  As one lays dying, he admits he was sent by [From.GetTitledFirstName] to kidnap you.;;As your carriage travels the windy forest road, you're ambushed by highwaymen!  Fortunately, your guards are well-trained and quickly dispatch them.  As one lays dying, he admits he was sent by [From.GetTitledFirstName] to kidnap you.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
1000182029.a;I've got a cell all prepared for you, [From.GetTitledFirstName];J'ai un cachot qui n'attend que toi, [From.GetTitledFirstName];I've got a cell all prepared for you, [From.GetTitledFirstName];;I've got a cell all prepared for you, [From.GetTitledFirstName];;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000182029.desc;Your plan goes off without a hitch, and [From.GetTitledFirstName] is pulled from his carriage and dragged before you in chains, begging for mercy;Votre plan se déroule sans accroc, et [From.GetTitledFirstName] est enlevé de son charriot et amené devant vous enchaisné, vous implorant de vous montrer clément;Your plan goes off without a hitch, and [From.GetTitledFirstName] is pulled from his carriage and dragged before you in chains, begging for mercy;;Your plan goes off without a hitch, and [From.GetTitledFirstName] is pulled from his carriage and dragged before you in chains, begging for mercy;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,
1000182030.a;We shall have to try again.;Nous n'aurons qu'à essayer à nouveau.;We shall have to try again.;;We shall have to try again.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
