EVTDESC90009008;My lord, nothing less than a miracle has occured. We have repelled the full scale Byzantine invasion and our Empire is safe once more. But discontent is growing in the Roman lands and the position of the Basileus is balancing on the edge. Maybe we could benefit from that?;;;;;;;;;;;;;x
EVTOPTA90009008;Take them down!;;;;;;;;;;;;;x
EVTOPTB90009008;Macedonia will be more than enough;;;;;;;;;;;;;x
EVTOPTC90009008;We should be grateful for what we have;;;;;;;;;;;;;x
nick_the_red;the Red;;;;;;;;;;;;;x
extend_claims_boleslaw;Continue the Expansion;;;;;;;;;;;;;x
extend_claims_boleslaw_desc;We have conquered the March of Moravia and now we should concentrate on extending our control of the region.;;;;;;;;;;;;;x
EVTDESC90009009;Your Grace, the vile Polish have taken the Moravian territories from us and in their naivity they think they could claim the Duchy of Bohemia as well! Of course we could defeat them single-handedly, the problem is that they are a little bit more powerful at the moment and so we should probably resort to some more cunning tactics...;;;;;;;;;;;;;x
EVTOPTA90009009;A temporary setback;;;;;;;;;;;;;x
EVTOPTB90009009;They will never take our freedom!! Hopefully;;;;;;;;;;;;;x
become_king_of_poland_boleslaw;Create the Kingdom of Poland;;;;;;;;;;;;;x
become_king_of_poland_boleslaw_desc;From Carpathia to Pommerania, from Bohemia to Prussia…the Polish realm is one of the greatest states of this century and it would be more than appropriate for others to treat us with respect you deserve.;;;;;;;;;;;;;x
nick_forkbeard;Forkbeard;;;;;;;;;;;;;x
nick_skotkonung;Skötkonung;;;;;;;;;;;;;x
nick_almanzor;al-Mansur bi-llah;;;;;;;;;;;;;x
EVTNAME90009010;Creation of the Great Seljuk Empire;;;;;;;;;;;;;x
EVTDESC90009010;Tughril-Beg, the leader of the Turkish tribes who conquered Persia, has taken the City of Baghdad and proclaimed himself the ruler of the Great Seljuk Empire.;;;;;;;;;;;;;x
EVTOPTA90009010;Turkish Empire? That cannot last long;;;;;;;;;;;;;x
nick_the_posthumous;the Posthumous;;;;;;;;;;;;;x
EVTDESC90009016;Your Majesty, a Christian monk by the name of Sigfrid has arrived from the Catholic churches of Västergotland. He would like to preach at Your court and show You the benefits of Christianity.;;;;;;;;;;;;;x
EVTOPTA90009016;What can I do?;;;;;;;;;;;;;x
EVTDESC90009018;Sigfrid has continued preaching his religion in our capital, and he seems to be gathering a larger and larger audience. After listening to one of his sermons, you have to admit that the new faith may have some advantages...;;;;;;;;;;;;;x
EVTOPTA90009018;It is for the good of the realm;;;;;;;;;;;;;x
EVTOPTB90009018;We shall bow to none!;;;;;;;;;;;;;x
EVTNAME90009019;Swedish King Converts;;;;;;;;;;;;;x
EVTDESC90009019;The Pagan King of Sweden has decided to be baptized by Siegfried of Glastonbury and converted to Christianity. It looks like that the era of the Old Gods is over.;;;;;;;;;;;;;x
EVTOPTA90009019;What's that noise? Oh, that is Valhalla crumbling!;;;;;;;;;;;;;x
EVTDESC90009020;After years of careful planning, Olaf Haraldsson, the last male descendant of Harald Fairhair has raised a large army of exiles, mercenaries and hopefuls, declaring intention to retake the Crown of Norway by force.;;;;;;;;;;;;;x
EVTOPTA90009020;Well... good luck with that!;;;;;;;;;;;;;x
EVTDESC90009021;My King! The dreadful Norse ruler of Denmark, vile Sweyn Forkbeard has finished consolidating his gains in Norway and now he has stated that he is going to invade England as many Vikings have done before…;;;;;;;;;;;;;x
EVTOPTA90009021;Can't they just leave the Anglo-Saxons alone?!;;;;;;;;;;;;;x
d_dublin;Dyflin;;;;;;;;;;;;;x
d_dublin_adj;Dyflin;;;;;;;;;;;;;x
abolish_witan;Abolish the Witanagemot;;;;;;;;;;;;;x
abolish_witan_desc;We have taken the Crown of England abd we should do our best to preserve it to the next generations. As such we need to get rid of the things that stay in our way. For example the silly Anglo-Saxon custom of interfering in their King's matters.;;;;;;;;;;;;;x
reinstitute_witan;Resinstitute the Witanagemot;;;;;;;;;;;;;x
reinstitute_witan_desc;We have expelled the invaders and retaken the English Crown! Now we will do the best if we restore our old customs…;;;;;;;;;;;;;x
form_the_great_seljuq;Form the Great Seljuq Empire;;;;;;;;;;;;;x
form_the_great_seljuq_desc;Sultan, we have taken the largest city of the world, the center of wisdom - Baghdad and you can now proclaim yourself the Sultan of Sultans, the ruler of the world! Now even the most wrongheaded clan-leaders believe that you are set to conquer the world in the name of Allah! ;;;;;;;;;;;;;x
e_seljuk_turks;Great Seljuq Empire;;;;;;;;;;;;;x
e_seljuk_turks_adj;Seljuq;;;;;;;;;;;;;x
emperor_turkish;Sultan es-Selatin;;;;;;;;;;;;;x
emperor_female_turkish;Sultana;;;;;;;;;;;;;x
bolghar;Bolghar;;;;;;;;;;;;;x
EVTNAME90009022;Fall of the Córdoban Caliphate;;;;;;;;;;;;;x
EVTDESC90009022;A messenger has arrived from Iberia - the last remnants of the Caliphate of Córdoba has been destroyed. It was the last bastion of the Umayyad Empire, the greatest Muslim realm the world has ever seen.;;;;;;;;;;;;;x
EVTOPTA90009022;So it goes;;;;;;;;;;;;;x
EVTNAME90009023;Fall of the Caliphate of Cairo;;;;;;;;;;;;;x
EVTDESC90009023;A messenger has arrived from Egypt - the last remnants of the Caliphate of Cairo, an Empire created by the Fatimids has fallen to obscurity.;;;;;;;;;;;;;x
EVTOPTA90009023;They fall like flies…;;;;;;;;;;;;;x
