#CODE;ENGLISH;GERMAN;FRENCH;;SPANISH;;;;;;;;;x
title_flaminica_quirinalis_desc;As wife of the Flamen Quirinalis, the Flaminica Quirinalis are entrusted to perform certain religious rituals.;As wife of the Flamen Quirinalis, the Flaminica Quirinalis are entrusted to performs certain religious rituals.;As wife of the Flamen Quirinalis, the Flaminica Quirinalis are entrusted to performs certain religious rituals.;;As wife of the Flamen Quirinalis, the Flaminica Quirinalis are entrusted to performs certain religious rituals.;;;;;;;;;;;
title_huntsman;Chief Huntsman;Chief Huntsman;Chief Huntsman;;Chief Huntsman;;;;;;;;;x;;
title_huntsman_desc;The one that leads the royal hunts;The one that leads the royal hunts;The one that leads the royal hunts;;The one that leads the royal hunts;;;;;;;;;x;;
title_ladys_champion;Champion;Champion;Champion;;Champion;;;;;;;;;x;;
title_ladys_champion_desc;The prestigious title of champion is bestowed on one sworn to defend his lady liege to the death.;The prestigious title of champion is bestowed on one sworn to defend his lady liege to the death.;The prestigious title of champion is bestowed on one sworn to defend his lady liege to the death.;;The prestigious title of champion is bestowed on one sworn to defend his lady liege to the death.;;;;;;;;;x;;
title_laoch;Laoch;laoch;laoch;;laoch;;;;;;;;;x;;
title_laoch_desc;The Teaghlach (literally meaning family) are strongly armed retainers. Known individually as laoch, these upper class warriors favor red tunics, and dress for battle in a similar style to the Frankish knights, although equipped with horses, the laoch's fight on foot.;The Teaghlach (literally meaning family) are strongly armed retainers. Known individually as laoch, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although equipped with horses, the laoch's fight on foot.;The Teaghlach (literally meaning family) are strongly armed retainers. Known individually as laoch, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although equipped with horses, the laoch's fight on foot.;;The Teaghlach (literally meaning family) are strongly armed retainers. Known individually as laoch, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although equipped with horses, the laoch's fight on foot.;;;;;;;;;x;;
title_lord;Lord;Seigneur;Herr;;Lord;;;;;;;;;x;;
title_lord_female;Lady;Madame;Herrin;;Lady;;;;;;;;;x;;
title_lord_female_muslim;Iqta;Iqta;Iqta;;Iqta;;;;;;;;;x;;
title_lord_jewish_group;Adon;Adon;Adon;;Adon;;;;;;;;;x;;
title_magister_equitum;Magister Equitum;Magister Equitum;Magister Equitum;;Magister Equitum;;;;;;;;;;;
title_magister_equitum_desc;Originally a very powerful office second only to the Dictator, the Magister Equitum, or Master of the Horse, is now a mostly ceremonial, but still prestigious, military function.;Originally a very powerful office second only to the Dictator, the Magister Equitum, or Master of the Horse, is now a mostly ceremonial, but still prestigeous, military function.;Originally a very powerful office second only to the Dictator, the Magister Equitum, or Master of the Horse, is now a mostly ceremonial, but still prestigeous, military function.;;Originally a very powerful office second only to the Dictator, the Magister Equitum, or Master of the Horse, is now a mostly ceremonial, but still prestigeous, military function.;;;;;;;;;;;
title_pagan_wizard;Court Wizard;Court Wizard;Court Wizard;;Court Wizard;;;;;;;;;x;;
title_pagan_wizard_desc;An unwashed, mysterious pagan from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;An unwashed, mysterious pagan from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;An unwashed, mysterious pagan from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;;An unwashed, mysterious pagan from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;;;;;;;;;x;;
title_queen_mother_egyptian_pagan;Mewet Pharaoh;Mewet Pharaoh;Mewet Pharaoh;;Mewet Pharaoh;;;;;;;;;x;;
title_queen_mother_jewish;Malcah Ama;Malcah Ama;Malcah Ama;;Malcah Ama;;;;;;;;;x;;
title_revoke_title;Revoke Minor Title;Revoke Minor Title;Revoke Minor Title;;Revoke Minor Title;;;;;;;;;x;;
title_revoke_title_desc;Revoke any minor titles this character holds;Revoke any minor titles this character holds;Revoke any minor titles this character holds;;Revoke any minor titles this character holds;;;;;;;;;x;;
title_royal_champion;Champion;Champion;Champion;;Champion;;;;;;;;;x;;
title_royal_champion_desc;The best warrior of the land, the title of champion is a great honor among celtic peoples, their task is to protect their king.;The best warrior of the land, the title of champion is a great honor among celtic peoples, their task is to protect their king.;The best warrior of the land, the title of champion is a great honor among celtic peoples, their task is to protect their king.;;The best warrior of the land, the title of champion is a great honor among celtic peoples, their task is to protect their king.;;;;;;;;;x;;
title_shapsheraz;Shapsheraz;Shapsheraz;Shapsheraz;;Shapsheraz;;;;;;;;;x;;
title_shapsheraz_desc;Carrier of a ceremonial sword in the court;Carrier of a ceremonial sword in the court;Carrier of a ceremonial sword in the court;;Carrier of a ceremonial sword in the court;;;;;;;;;x;;
title_sir;Knight;Knight;Knight;;Knight;;;;;;;;;;;
title_sir_desc;Knight this character, bestowing them a proper dynasty.;;;;;;;;;;;;;;;
title_sraoshavarez;Sraoshavarez;Sraoshavarez;Sraoshavarez;;Sraoshavarez;;;;;;;;;x;;
title_sraoshavarez_desc;Master of the rituals;Master of the rituals;Master of the rituals;;Master of the rituals;;;;;;;;;x;;
title_uchelwr;Uchelwr;Uchelwr;Uchelwr;;Uchelwr;;;;;;;;;x;;
title_uchelwr_desc;The Teulu (literally meaning family) are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favor red tunics, and dress for battle in a similar style to the Frankish knights, although armed with lances, the Uchelwr's throw javelins.;The Teulu (literally meaning family) are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although armed with lances, the Uchelwr's throw javelins.;The Teulu (literally meaning family) are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although armed with lances, the Uchelwr's throw javelins.;;The Teulu (literally meaning family) are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favour red tunics, and dress for battle in a similar style to the frankish knights, although armed with lances, the Uchelwr's throw javelins.;;;;;;;;;x;;
title_vates;Vates;Vates;Vates;;Vates;;;;;;;;;x;;
title_vates_desc;The vates were one of three classes of Celtic priesthood, the other two being the druids and the bards. The Vates had the role of seers and performed sacrifices (in particular administering human sacrifice) under the presidence of a druid.;The vates were one of three classes of Celtic priesthood, the other two being the druids and the bards. The Vates had the role of seers and performed sacrifices (in particular administering human sacrifice) under the presidence of a druid.;The vates were one of three classes of Celtic priesthood, the other two being the druids and the bards. The Vates had the role of seers and performed sacrifices (in particular administering human sacrifice) under the presidence of a druid.;;The vates were one of three classes of Celtic priesthood, the other two being the druids and the bards. The Vates had the role of seers and performed sacrifices (in particular administering human sacrifice) under the presidence of a druid.;;;;;;;;;x;;
title_vestalis;Vestalis;Vestalis;Vestalis;;Vestalis;;;;;;;;;;;
title_vestalis_desc;The College of the Vestales is the foremost order of priestesses of the Hellenic religion, each member taking a vow of chastity in order to devote themselves to the study and correct observance of religious rituals.;The College of the Vestales is the foremost order of priestesses of the Hellenic religion, each member taking a vow of chastity in order to devote themselves to the study and correct observance of religious rituals.;The College of the Vestales is the foremost order of priestesses of the Hellenic religion, each member taking a vow of chastity in order to devote themselves to the study and correct observance of religious rituals.;;The College of the Vestales is the foremost order of priestesses of the Hellenic religion, each member taking a vow of chastity in order to devote themselves to the study and correct observance of religious rituals.;;;;;;;;;;;
title_vestalis_maxima;Vestalis Maxima;Vestalis Maxima;Vestalis Maxima;;Vestalis Maxima;;;;;;;;;;;
title_vestalis_maxima_desc;As the head of the College of the Vestales and the only female member of the College of Pontiffs, the Vestalis Maxima is the most important of the high priestesses of the Hellenic religion.;As the head of the College of the Vestales and the only female member of the College of Pontiffs, the Vestalis Maxima is the most important of the high priestesses of the Hellenic religion.;As the head of the College of the Vestales and the only female member of the College of Pontiffs, the Vestalis Maxima is the most important of the high priestesses of the Hellenic religion.;;As the head of the College of the Vestales and the only female member of the College of Pontiffs, the Vestalis Maxima is the most important of the high priestesses of the Hellenic religion.;;;;;;;;;;;
