#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_RESTOREBYZANTIUM;Restore Byzantium;Restaurer Byzance;;;;;;;;;;;;x
WAR_NAME_RESTOREBYZANTIUM;$ORDER$$FIRST_ADJ$ War to Restore the Byzantine Empire;$ORDER$$FIRST_ADJ$ Guerre de restauration de l'Empire Byzantin;;;;;;;;;;;;x
loyal_vassal;Loyal Vassal;Vassal loyal;;;;;;;;;;;;x
tax_privileges_group;Tax Privileges;Privilèges d'impôts;Steuerprivilegien;;;;;;;;;;;x
levy_privileges_group;Levy Privileges;Privilèges de levée;Abgabeprivilegien;;;;;;;;;;;x
council_privileges_group;Council Terms;Privilèges du conseil;Ratbedingungen;;;;;;;;;;;x
tax_privileges_group_desc;This law determines who is favored in the realm's taxation.;Cette loi détermine qui est favorisé dans la taxation du royaume.;Dieses Gesetz bestimmt, wer im Reich der Steuerpolitik begünstigt.;;;;;;;;;;;x
levy_privileges_group_desc;This law determines the freedom of vassals to dispose over their own levies.;Cette loi détermine la liberté dont dipose les vassaux vis-à-vis de leurs levées.;Dieses Gesetz bestimmt die Freiheit der Vasallen über ihre eigenen Abgaben zu entsorgen.;;;;;;;;;;x;
council_privileges_group_desc;This law determines the freedom of the ruler to dismiss councillors.;Cette loi détermine la liberté de recrutement dont dispose le suzerain vis-à-vis de son conseil;Dieses Gesetz bestimmt die Freiheit der Herrscher Ratsmitglieder zu entlassen.;;;;;;;;;;;x
tax_privileges_0;Crown Tax Privileges;Privilèges d'impôts pour la Couronne;Kronensteuerprivilegien;;;;;;;;;;;x
tax_privileges_0_option;Crown;Couronne;Krone;;;;;;;;;;;x
tax_privileges_0_desc;Crown revenues are increased at the expense of the vassals.;Les revenus de la Couronne sont augmentés au détriment de celui des vassals.;Kroneneinnahmen werden auf Kosten der Vasallen erhöht.;;;;;;;;;;;x
tax_privileges_1;Balanced Taxation;Imposition équilibrée;Ausgewogene Besteuerung;;;;;;;;;;;x
tax_privileges_1_option;Balance;Équilibre;Ausgewogen;;;;;;;;;;;x
tax_privileges_1_desc;Vassal and crown revenues are set at the same level.;Les revenus de la Couronne et des vassaux sont équilibrés.;Vasall- und Kronumsätze werden auf dem gleichen Niveau eingestellt.;;;;;;;;;;;x
tax_privileges_2;Vassal Tax Privileges;Privilèges d'impôts pour les vassaux;Vasallsteuerprivilegien;;;;;;;;;;;x
tax_privileges_2_option;Vassal;Vassal;Vasall;;;;;;;;;;;x
tax_privileges_2_desc;Vassal revenues are increased at the expense of the crown.;Les revenus des vassaux sont augmentés au détriment de ceux de la Couronne.;Vasalleinnahmen werden auf Kosten der Krone erhöht.;;;;;;;;;;;x
levy_privileges_0;Crown Levy Privileges;Privilèges de levées pour la Couronne;Kronenabgabeprivilegien;;;;;;;;;;;x
levy_privileges_0_option;Crown;Couronne;Krone;;;;;;;;;;;x
levy_privileges_0_desc;Vassals must contribute all levies reserved for the crown to wars.;Les vassaux doivent prodiguer à la Couronne l'intégralité des levées qui lui sont réservées.;;;;;;;;;;;;x
levy_privileges_1;Vassal Levy Privileges;Privilèges de levées pour les vassaux;Vasallabgabeprivilegien;;;;;;;;;;;x
levy_privileges_1_option;Vassal;Vassal;Vasall;;;;;;;;;;;x
levy_privileges_1_desc;Vassals are free to choose how large a portion of their levies they wish to contribute to wars.;Les vassaux sont libres de choisir dans quelle mesure leurs levées participeront à la guerre.;Vasallen sind frei zu entscheiden, wie groß der Anteil ihrer Abgaben sie zu Kriegen beitragen wollen.;;;;;;;;;;;x
council_privileges_0;Free Appointment;Nomination libre;Freier Ernennung;;;;;;;;;;;x
council_privileges_0_option;Free;Libre;Frei;;;;;;;;;;;x
council_privileges_0_desc;Councillors are freely appointed and dismissed by the crown.;Les conseillers sont nommés et renvoyés sans contrainte par la Couronne.;Ratsmitglieder sind frei ernannt und entlassen ber der Krone.;;;;;;;;;;;x
council_privileges_1;Lifetime Appointment;Nommé à vie;Ernennung auf Lebenszeit;;;;;;;;;;;x
council_privileges_1_option;Life;A vie;Lebenszeit;;;;;;;;;;;x
council_privileges_1_desc;Councillors are appointed for life.;Les conseillers sont nommés à vie.;Ratsmitglieder werden auf Lebenszeit ernannt.;;;;;;;;;;;x
tax_privileges_0_vassal;Crown Privileges;Privilèges de la Couronne;Kronprivilegien;;;;;;;;;;;x
tax_privileges_0_vassal_desc;Our liege's laws require us to pay an additional portion of our revenues to the crown.;Les loix de notre suzerain exigent que nous payons une part supplémentaire d'impôts à la Couronne.;Unser Lehnsherr's Gesetze erfordern, dass wir einen zusätzlichen Teil unserer Einnahmen an die Krone zahle.;;;;;;;;;;;x
tax_privileges_2_vassal;Vassal Privileges;Privlièges aux vassaux;Vasallprivilegien;;;;;;;;;;;x
tax_privileges_2_vassal_desc;Our liege's laws allow us to raise additional revenues at the expense of the crown.;Les loix de notre suzerain nous permettent de conserver une part supplémentaire de notre revenu,au détriment de la Couronne.;Unser Lehnsherr's Gesetze ermöglichen es uns, zusätzliche Einnahmen auf Kosten der Krone zu erhöhen.;;;;;;;;;;;x
judaism_DESC;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;;;;;;;;x
neo-essene_DESC;The Neo-Essene religion. Defining features in-game: ;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;;;;;;;;x
zevianite_DESC;The Zevianite religion. Defining features in-game: ;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;;;;;;;;x
ebionite_DESC;The Ebionite religion. Defining features in-game: ;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;The Jewish religion. Defining features in-game: \n§Y*§! Can have a religious head if Israel is retaken;;;;;;;;;x
*;;;;;;;;;;;;;;x
