#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
italic_baltic;Romano-Baltic;;;;;;;;;;;;;x
italic_altaic;Avar;;;;;;;;;;;;;x
italic_ugric;Kola;;;;;;;;;;;;;x
nordic_kartvelian;Armenian;;;;;;;;;;;;;x
g_iberian_creole;Iberian Creole;;;;;;;;;;;;;x
iberian_celtic;Galician;;;;;;;;;;;;;x
iberian_hellenic;Zakynthian;;;;;;;;;;;;;x
iberian_hamitic;Ibero-Hamitic;;;;;;;;;;;;;x
iberian_sahelian;Moroccan;;;;;;;;;;;;;x
iberian_semitic;Andalusian;;;;;;;;;;;;;x
g_hellenic_creole;Hellenic Creole;;;;;;;;;;;;;x
hellenic_hamitic;Ptolemaic;;;;;;;;;;;;;x
hellenic_semitic;Syriac;;;;;;;;;;;;;x
hellenic_kartvelian;Georgian;;;;;;;;;;;;;x
hellenic_altaic;Khazar;;;;;;;;;;;;;x
hellenic_slavic;Bulgarian;;;;;;;;;;;;;x
hellenic_iranian;Seleukid;;;;;;;;;;;;;x
hellenic_ugric;Dacian;;;;;;;;;;;;;x
g_hamitic_creole;Hamitic Creole;;;;;;;;;;;;;x
hamitic_semitic;Mashriqi;;;;;;;;;;;;;x
hamitic_sahelian;Libyan;;;;;;;;;;;;;x
g_sahelian_creole;Sahelian Creole;;;;;;;;;;;;;x
sahelian_semitic;Maghrebian;;;;;;;;;;;;;x
g_semitic_creole;Semitic Creole;;;;;;;;;;;;;x
semitic_iranian;Farsi;;;;;;;;;;;;;x
semitic_kartvelian;Semitic Caucasian;;;;;;;;;;;;;x
semitic_altaic;Turkic;;;;;;;;;;;;;x
g_iranian_creole;Iranian Creole;;;;;;;;;;;;;x
iranian_kartvelian;Kurdish;;;;;;;;;;;;;x
iranian_altaic;Scythian;;;;;;;;;;;;;x
g_slavic_creole;Slavic Creole;;;;;;;;;;;;;x
slavic_baltic;Prussian;;;;;;;;;;;;;x
slavic_altaic;Pecheneg;;;;;;;;;;;;;x
slavic_ugric;Estonian;;;;;;;;;;;;;x
g_baltic_creole;Baltic Creole;;;;;;;;;;;;;x
baltic_altaic;Cuman;;;;;;;;;;;;;x
baltic_ugric;Ugro-Baltic;;;;;;;;;;;;;x
g_altaic_creole;Altaic Creole;;;;;;;;;;;;;x
altaic_ugric;Bolghar;;;;;;;;;;;;;x
altaic_kartvelian;Alan;;;;;;;;;;;;;x
ancient_egyptian;Egyptian;;;;;;;;;;;;;x


