#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
count_gaulish_pagan;;;;;;;;;;;;;;x;;
count_female_gaulish_pagan;;;;;;;;;;;;;;x;;
baron_gaulish_pagan;;;;;;;;;;;;;;x;;
baron_female_gaulish_pagan;;;;;;;;;;;;;;x;;
king_gaulish_pagan_reformed;Overking;Overking;Overking;;Overking;;;;;;;;;x;;
king_female_gaulish_pagan_reformed;Overqueen;Overqueen;Overqueen;;Overqueen;;;;;;;;;x;;
duke_gaulish_pagan_reformed;Chief;Chief;Chief;;Chief;;;;;;;;;x;;
duke_female_gaulish_pagan_reformed;Chieftess;Chieftess;Chieftess;;Chieftess;;;;;;;;;x;;
count_gaulish_pagan_reformed;;;;;;;;;;;;;;x;;
count_female_gaulish_pagan_reformed;;;;;;;;;;;;;;x;;
baron_gaulish_pagan_reformed;;;;;;;;;;;;;;x;;
baron_female_gaulish_pagan_reformed;;;;;;;;;;;;;;x;;
temple_baron_gaulish_pagan;Druid;Druid;Druid;;Druid;;;;;;;;;x;;
temple_baron_female_gaulish_pagan;Druidess;Druidess;Druidess;;Druidess;;;;;;;;;x;;
temple_baron_gaulish_pagan_reformed;Druid;Druid;Druid;;Druid;;;;;;;;;x;;
temple_baron_female_gaulish_pagan_reformed;Druidess;Druidess;Druidess;;Druidess;;;;;;;;;x;;
GOD_TARANIS;Taranis;Taranis;Taranis;;Taranis;;;;;;;;;x ;;
GOD_CAMULUS;Camulus;Camulus;Camulus;;Camulus;;;;;;;;;x;;
GOD_TEUTATES;Teutates;Teutates;Teutates;;Teutates;;;;;;;;;x;;
GOD_ESUS;Esus;Esus;Esus;;Esus;;;;;;;;;x;;
GOD_BRIGANTIA;Brigantia;Brigantia;Brigantia;;Brigantia;;;;;;;;;x;;
job_spiritual_gaulish_pagan;Druid;Druid;Druid;;Druid;;;;;;;;;x;;
job_spiritual_gaulish_pagan_reformed;Druid;Druid;Druid;;Druid;;;;;;;;;x;;
HEAD_PRIEST_gaulish_pagan_reformed;High Druid;;High Druid;;High Druid;;High Druid;;;;;;;;;x
HEAD_PRIESTESS_gaulish_pagan_reformed;High Druidess;High Druidess;High Druidess;;High Druidess;;;;;;;;;x;;
RETTYPE_CUL_GAUL;Gaulish Tribesmen;Gaulish Tribesmen;Gaulish Tribesmen;;Gaulish Tribesmen;;;;;;;;;x;;
