#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancestral_group;Ancestral;Ancestral;Ancestral;;Ancestral;;;;;;;;x
ancestry;Ancestor Worship;Ancestor Worship;Ancestor Worship;;Ancestor Worship;;;;;;;;x
ancestry_DESC;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;;Early civilisations believed the dead would stay with them as divine beings to help them with their endeavours.;;;;;;;x
overlord;Elder Worship;Elder Worship;Elder Worship;;Elder Worship;;;;;;;;x
overlord_DESC;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;;An early civilisation sometimes believed an elder is the highest of the highest and is the Overlord of all that exists.;;;;;;;x
descendic;Descendant Worship;Descendant Worship;Descendant Worship;;Descendant Worship;;;;;;;;x
descendic_DESC;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;;Everything that comes afterwards inherits everything from before. This principle is the essence of Descendant Worship. As the descendants inherit the divinity of all that came before of all the souls that came before, they are the sum of all parts.;;;;;;;x
ancient_ancestors;Founder Worship;Founder Worship;Founder Worship;;Founder Worship;;;;;;;;x
ancient_ancestors_DESC;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;;Some civilisations worshipped the founder of the tribe as the divine shepherd. The founder was the source of all and everything that came after.;;;;;;;x
GOD_ANCESTOR;the Great Ancestor;the Great Ancestor;the Great Ancestor;;the Great Ancestor;;;;;;;;x
GOD_FOREBEAR;the Great Forebear;the Great Forebear;the Great Forebear;;the Great Forebear;;;;;;;;x
;;;;;;;;;x
astrolatry_group;Astrolatry;Astrolatry;Astrolatry;;Astrolatry;;;;;;;;;x
heliosism;Heliosist;Heliosist;Heliosist;;Heliosist;;;;;;;;;x
heliosism_DESC;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;;Heliosism worships the Sun, the Giver of Life, as the supreme deity.;;;;;;;;;x
selenism;Selenist;Selenist;Selenist;;Selenist;;;;;;;;;x
selenism_DESC;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;;This faith believes that the Moon is the greatest of all the gods, guarding the celestial mysteries.;;;;;;;;;x
polarism;Polarist;Polarist;Polarist;;Polarist;;;;;;;;;x
polarism_DESC;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;;Polarists seek guidance from the North Star, the only fixed point in the nocturnal sky.;;;;;;;;;x
orionism;Orionist;Orionist;Orionist;;Orionist;;;;;;;;;x
orionism_DESC;Orionists pray to the great constellation of Orion, the Astro-Warrior.;Orionists pray to the great constellation of Orion, the Astro-Warrior.;Orionists pray to the great constellation of Orion, the Astro-Warrior.;;Orionists pray to the great constellation of Orion, the Astro-Warrior.;;;;;;;;;x
new_star_blessed;Blessed by the new star;Blessed by the new star;Blessed by the new star;;Blessed by the new star;;;;;;;;;x
new_star_catastrophe;New star preparations;New star preparations;New star preparations;;New star preparations;;;;;;;;;x
forest_garden_constr;A Forest Garden is under construction here;A Forest Garden is under construction here;A Forest Garden is under construction here;;A Forest Garden is under construction here;;;;;;;;;x
tp_forest_garden_1;Forest Garden;Forest Garden;Forest Garden;Forest Garden;;Forest Garden;;;;;;;;;x
tp_forest_garden_1_desc;The forest garden is simultaneously a true spiritual place, as well as the ideal training ground for forest skirmishers;The forest garden is simultaneously a true spiritual place, as well as the ideal training ground for forest skirmishers;The forest garden is simultaneously a true spiritual place, as well as the ideal training ground for forest skirmishers;The forest garden is simultaneously a true spiritual place, as well as the ideal training ground for forest skirmishers;;The forest garden is simultaneously a true spiritual place, as well as the ideal training ground for forest skirmishers;;;;;;;;;x
;;;;;;;;;x
pantheism_group;Pantheist;Pantheist;Pantheist;;Pantheist;;;;;;;;;x
animism;Animist;Animist;Animist;;Animist;;;;;;;;;x
animism_DESC;Animists believe that the world is inhabited by numerous spiritual beings who inhabit plants, animals and inanimate objects.;Animists believe that the world is inhabited by numerous spiritual beings who inhabit plants, animals and inanimate objects.;Animists believe that the world is inhabited by numerous spiritual beings who inhabit plants, animals and inanimate objects.;;Animists believe that the world is inhabited by numerous spiritual beings who inhabit plants, animals and inanimate objects.;;;;;;;;;x
shamanism;Shamanist;Shamanist;Shamanist;;Shamanist;;;;;;;;;x
shamanism_DESC;This faith reveres a caste of spiritual wisemen, the shamans, who can establish a connection with the methaphysical realm through prayer, meditation and trance.;This faith reveres a caste of spiritual wisemen, the shamans, who can establish a connection with the methaphysical realm through prayer, meditation and trance.;This faith reveres a caste of spiritual wisemen, the shamans, who can establish a connection with the methaphysical realm through prayer, meditation and trance.;;This faith reveres a caste of spiritual wisemen, the shamans, who can establish a connection with the methaphysical realm through prayer, meditation and trance.;;;;;;;;;x
panvitalism;Panvitalist;Panvitalist;Panvitalist;;Panvitalist;;;;;;;;;x
panvitalism_DESC;Panvitalists believe that the Universe is driven by an omnipresent power, the Lifeforce.;Panvitalists believe that the Universe is driven by an omnipresent power, the Lifeforce.;Panvitalists believe that the Universe is driven by an omnipresent power, the Lifeforce.;;Panvitalists believe that the Universe is driven by an omnipresent power, the Lifeforce.;;;;;;;;;x
gaia;Gaianist;Gaianist;Gaianist;;Gaianist;;;;;;;;;x
gaia_DESC;This character worships the Great Mother, an embodiment of Nature and all things living.;This character worships the Great Mother, an embodiment of Nature and all things living.;This character worships the Great Mother, an embodiment of Nature and all things living.;;This character worships the Great Mother, an embodiment of Nature and all things living.;;;;;;;;;x
SHAMAN;Shaman;Shaman;Shaman;;Shaman;;;;;;;;x
PRIEST;Priest;Priest;Priest;;Priest;;;;;;;;x
GOD_DIVINES;the Divines;the Divines;the Divines;;the Divines;;;;;;;;x
GOD_THE_DIVINE;the Divine;the Divine;the Divine;;the Divine;;;;;;;;x
ROGUE;the Rogue;;;;;;;;;;;;x
;;;;;;;;;x
poly_group;Polytheism;Polytheism;Polytheism;;Polytheism;;;;;;;;;x
celestial_norse_pagan;Astro-Norse;Astro-Norse;Astro-Nordisch;;Astro-Escandinavo;;;;;;;;;x
celestial_norse_pagan_DESC;;;;;;;;;;;;;;x
celestial_tengri_pagan;Astro-Tengri;Astro-Tengri;Astro-Tengri;;Astro-Tengrista;;;;;;;;;x
celestial_tengri_pagan_DESC;;;;;;;;;;;;;;x
celestial_baltic_pagan;Astro-Romuva;Astro-Romuva;Astro-Romuva;;Astro-Romuvita;;;;;;;;;x
celestial_baltic_pagan_DESC;;;;;;;;;;;;;;x
celestial_celtic_pagan;Astro-Celtic;Astro-Celtic;Astro-Celtic;;Astro-Celtic;;;;;;;;;x
celestial_celtic_pagan_DESC;;;;;;;;;;;;;;x
celestial_egyptian_pagan;Astro-Kemetic;Astro-Kemetic;Astro-Kemetic;;Astro-Kemetic;;;;;;;;;x
celestial_egyptian_pagan_DESC;;;;;;;;;;;;;;x
celestial_slavic_pagan;Astro-Slavic;Astro-Slave;Astro-slawisch;;Astro-Eslavo;;;;;;;;;x
celestial_slavic_pagan_DESC;;;;;;;;;;;;;;x
celestial_finnish_pagan;Astro-Suomenusko;Astro-Suomenusko;Astro-Suomenusko;;Astro-Suomenusko;;;;;;;;;x
celestial_finnish_pagan_DESC;;;;;;;;;;;;;;x
celestial_aztec_pagan;Astro-Quetzalcoatl;Astro-Quetzalcoatl;Astro-Quetzalcoatl;;Astro-Quetzalcoatl;;;;;;;;;x
celestial_aztec_pagan_DESC;;;;;;;;;;;;;;x
celestial_west_african_pagan;Astro-Sahelian;Astro-Sahelian;Astro-Sahelian;;Astro-Sahelian;;;;;;;;;x
celestial_west_african_pagan_DESC;;;;;;;;;;;;;;x
celestial_hellenic_pagan;Astro-Hellenic;Astro-Hellenic;Astro-Hellenic;;Astro-Hellenic;;;;;;;;;x
celestial_hellenic_pagan_DESC;;;;;;;;;;;;;;x
ancestral_norse_pagan;Fore-Norse;Fore-Norse;Fore-Nordisch;;Fore-Escandinavo;;;;;;;;;x
ancestral_norse_pagan_DESC;;;;;;;;;;;;;;x
ancestral_tengri_pagan;Fore-Tengri;Fore-Tengri;Fore-Tengri;;Fore-Tengrista;;;;;;;;;x
ancestral_tengri_pagan_DESC;;;;;;;;;;;;;;x
ancestral_baltic_pagan;Fore-Romuva;Fore-Romuva;Fore-Romuva;;Fore-Romuvita;;;;;;;;;x
ancestral_baltic_pagan_DESC;;;;;;;;;;;;;;x
ancestral_celtic_pagan;Fore-Celtic;Fore-Celtic;Fore-Celtic;;Fore-Celtic;;;;;;;;;x
ancestral_celtic_pagan_DESC;;;;;;;;;;;;;;x
ancestral_egyptian_pagan;Fore-Kemetic;Fore-Kemetic;Fore-Kemetic;;Fore-Kemetic;;;;;;;;;x
ancestral_egyptian_pagan_DESC;;;;;;;;;;;;;;x
ancestral_slavic_pagan;Fore-Slavic;Fore-Slave;Fore-slawisch;;Fore-Eslavo;;;;;;;;;x
ancestral_slavic_pagan_DESC;;;;;;;;;;;;;;x
ancestral_finnish_pagan;Fore-Suomenusko;Fore-Suomenusko;Fore-Suomenusko;;Fore-Suomenusko;;;;;;;;;x
ancestral_finnish_pagan_DESC;;;;;;;;;;;;;;x
ancestral_aztec_pagan;Fore-Quetzalcoatl;Fore-Quetzalcoatl;Fore-Quetzalcoatl;;Fore-Quetzalcoatl;;;;;;;;;x
ancestral_aztec_pagan_DESC;;;;;;;;;;;;;;x
ancestral_west_african_pagan;Fore-Sahelian;Fore-Sahelian;Fore-Sahelian;;Fore-Sahelian;;;;;;;;;x
ancestral_west_african_pagan_DESC;;;;;;;;;;;;;;x
ancestral_hellenic_pagan;Fore-Hellenic;Fore-Hellenic;Fore-Hellenic;;Fore-Hellenic;;;;;;;;;x
ancestral_hellenic_pagan_DESC;;;;;;;;;;;;;;x
natural_norse_pagan;Pan-Norse;Pan-Norse;Pan-Nordisch;;Pan-Escandinavo;;;;;;;;;x
natural_norse_pagan_DESC;;;;;;;;;;;;;;x
natural_tengri_pagan;Pan-Tengri;Pan-Tengri;Pan-Tengri;;Pan-Tengrista;;;;;;;;;x
natural_tengri_pagan_DESC;;;;;;;;;;;;;;x
natural_baltic_pagan;Pan-Romuva;Pan-Romuva;Pan-Romuva;;Pan-Romuvita;;;;;;;;;x
natural_baltic_pagan_DESC;;;;;;;;;;;;;;x
natural_celtic_pagan;Pan-Celtic;Pan-Celtic;Pan-Celtic;;Pan-Celtic;;;;;;;;;x
natural_celtic_pagan_DESC;;;;;;;;;;;;;;x
natural_egyptian_pagan;Pan-Kemetic;Pan-Kemetic;Pan-Kemetic;;Pan-Kemetic;;;;;;;;;x
natural_egyptian_pagan_DESC;;;;;;;;;;;;;;x
natural_slavic_pagan;Pan-Slavic;Pan-Slave;Pan-slawisch;;Pan-Eslavo;;;;;;;;;x
natural_slavic_pagan_DESC;;;;;;;;;;;;;;x
natural_finnish_pagan;Pan-Suomenusko;Pan-Suomenusko;Pan-Suomenusko;;Pan-Suomenusko;;;;;;;;;x
natural_finnish_pagan_DESC;;;;;;;;;;;;;;x
natural_aztec_pagan;Pan-Quetzalcoatl;Pan-Quetzalcoatl;Pan-Quetzalcoatl;;Pan-Quetzalcoatl;;;;;;;;;x
natural_aztec_pagan_DESC;;;;;;;;;;;;;;x
natural_west_african_pagan;Pan-Sahelian;Pan-Sahelian;Pan-Sahelian;;Pan-Sahelian;;;;;;;;;x
natural_west_african_pagan_DESC;;;;;;;;;;;;;;x
natural_hellenic_pagan;Pan-Hellenic;Pan-Hellenic;Pan-Hellenic;;Pan-Hellenic;;;;;;;;;x
natural_hellenic_pagan_DESC;;;;;;;;;;;;;;x
;;;;;;;;;x
mono_group;Monotheism;Monotheism;Monotheism;;Monotheism;;;;;;;;;x
celestial_nivisal;Astro-Nivisal;Astro-Nivisal;Astro-Nivisal;;Astro-Nivisal;;;;;;;;;x
celestial_nivisal_DESC;;;;;;;;;;;;;;x
celestial_djirafeic;Astro-Djirafeic;Astro-Djirafeic;Astro-Djirafeic;;Astro-Djirafeic;;;;;;;;;x
celestial_djirafeic_DESC;;;;;;;;;;;;;;x
celestial_derpic;Astro-Derpingtonian;Astro-Derpingtonian;Astro-Derpingtonian;;Astro-Derpingtonian;;;;;;;;;x
celestial_derpic_DESC;;;;;;;;;;;;;;x
celestial_malric;Astro-Malric;Astro-Malric;Astro-Malric;;Astro-Malric;;;;;;;;;x
celestial_malric_DESC;;;;;;;;;;;;;;x
ancestral_nivisal;Fore-Nivisal;Fore-Nivisal;Fore-Nivisal;;Fore-Nivisal;;;;;;;;;x
ancestral_nivisal_DESC;;;;;;;;;;;;;;x
ancestral_djirafeic;Fore-Djirafeic;Fore-Djirafeic;Fore-Djirafeic;;Fore-Djirafeic;;;;;;;;;x
ancestral_djirafeic_DESC;;;;;;;;;;;;;;x
ancestral_derpic;Fore-Derpingtonian;Fore-Derpingtonian;Fore-Derpingtonian;;Fore-Derpingtonian;;;;;;;;;x
ancestral_derpic_DESC;;;;;;;;;;;;;;x
ancestral_malric;Fore-Malric;Fore-Malric;Fore-Malric;;Fore-Malric;;;;;;;;;x
ancestral_malric_DESC;;;;;;;;;;;;;;x
natural_nivisal;Pan-Nivisal;Pan-Nivisal;Pan-Nivisal;;Pan-Nivisal;;;;;;;;;x
natural_nivisal_DESC;;;;;;;;;;;;;;x
natural_djirafeic;Pan-Djirafeic;Pan-Djirafeic;Pan-Djirafeic;;Pan-Djirafeic;;;;;;;;;x
natural_djirafeic_DESC;;;;;;;;;;;;;;x
natural_derpic;Pan-Derpingtonian;Pan-Derpingtonian;Pan-Derpingtonian;;Pan-Derpingtonian;;;;;;;;;x
natural_derpic_DESC;;;;;;;;;;;;;;x
natural_malric;Pan-Malric;Pan-Malric;Pan-Malric;;Pan-Malric;;;;;;;;;x
natural_malric_DESC;;;;;;;;;;;;;;x
no_foolish_war_started;Is not yet stepping in the footsteps of Sir Derpington;Is not yet stepping in the footsteps of Sir Derpington;Is not yet stepping in the footsteps of Sir Derpington;;Is not yet stepping in the footsteps of Sir Derpington;;;;;;;;;x
foolish_war_started;A true Derpingtonian!;A true Derpingtonian!;A true Derpingtonian!;;A true Derpingtonian!;;;;;;;;;x

